featureid	PC1	PC2	PC3	feature_id	TimePointInWeeks	Taxon	kingdom	phylum	class	order	family	genus	species	Confidence
0	-0.5315896857038489	-0.07625862096314996	-1.4234893362778098	cd1032dccdcdadb3b177b8bfd184fe52	14.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.9972166387436893
1	-0.5303074124340789	-0.07800658802087936	-1.3811010865129654	cd1032dccdcdadb3b177b8bfd184fe52	9.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.9972166387436893
2	-0.5321840905424128	-0.07524544031465077	-1.4150314712070657	cd1032dccdcdadb3b177b8bfd184fe52	12.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.9972166387436893
3	-0.5336591147279727	-0.07644936974495224	-1.380135675893023	cd1032dccdcdadb3b177b8bfd184fe52	11.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.9972166387436893
4	-0.5328578727458878	-0.07410921074340475	-1.4675506013096822	cd1032dccdcdadb3b177b8bfd184fe52	18.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.9972166387436893
5	-0.5319106177774122	-0.07694653956610485	-1.4181889132382028	cd1032dccdcdadb3b177b8bfd184fe52	6.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.9972166387436893
6	-0.5395308720385983	-0.07344584174716268	-1.394151186927702	cd1032dccdcdadb3b177b8bfd184fe52	3.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.9972166387436893
7	-0.5542584381645292	-0.05329452185726356	-1.4025792558506118	db35c906865fb1665ab2ed219d1e567e	14.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	nan	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	nan	0.9999999927704695
8	-0.556467279396128	-0.05444610876215465	-1.3702133471362634	db35c906865fb1665ab2ed219d1e567e	9.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	nan	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	nan	0.9999999927704695
9	-0.5532345176425665	-0.052627023255421276	-1.3961211810228793	db35c906865fb1665ab2ed219d1e567e	12.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	nan	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	nan	0.9999999927704695
10	-0.5506936440897283	-0.05342019001461017	-1.3694761996444405	db35c906865fb1665ab2ed219d1e567e	11.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	nan	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	nan	0.9999999927704695
11	-0.5520738618391277	-0.05187845817840167	-1.4362226096048176	db35c906865fb1665ab2ed219d1e567e	18.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	nan	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	nan	0.9999999927704695
12	-0.5537056012511027	-0.05374773294684948	-1.3985320727468256	db35c906865fb1665ab2ed219d1e567e	6.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	nan	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	nan	0.9999999927704695
13	-0.5405789673235367	-0.05144142073779023	-1.3801778623280831	db35c906865fb1665ab2ed219d1e567e	3.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	nan	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	nan	0.9999999927704695
14	-0.5381649720678096	-0.058815825943252825	-1.4290967223356326	a04152eb23b2b714891a76b94fc50d13	14.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_Bacteroidales	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_Bacteroidales	0.8638081511867217
15	-0.5378953296261229	-0.06011080171611066	-1.3840208150235604	a04152eb23b2b714891a76b94fc50d13	9.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_Bacteroidales	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_Bacteroidales	0.8638081511867217
16	-0.5382899663071805	-0.058065214318432395	-1.4201025802301694	a04152eb23b2b714891a76b94fc50d13	12.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_Bacteroidales	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_Bacteroidales	0.8638081511867217
17	-0.5386001413161414	-0.05895714156475944	-1.3829941918469957	a04152eb23b2b714891a76b94fc50d13	11.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_Bacteroidales	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_Bacteroidales	0.8638081511867217
18	-0.5384316523914133	-0.0572234422949484	-1.4759517236543362	a04152eb23b2b714891a76b94fc50d13	18.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_Bacteroidales	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_Bacteroidales	0.8638081511867217
19	-0.5382324591705756	-0.05932546822774873	-1.423460222150474	a04152eb23b2b714891a76b94fc50d13	6.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_Bacteroidales	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_Bacteroidales	0.8638081511867217
20	-0.5398348820032904	-0.05673198750762855	-1.3978983664669742	a04152eb23b2b714891a76b94fc50d13	3.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_Bacteroidales	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_Bacteroidales	0.8638081511867217
21	-0.5291057222216794	-0.054425431130344565	-1.4451707996094532	41b1495424f06c9624f04dd34f3bc8bb	14.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.9924233812519897
22	-0.527440904700808	-0.05560638787212831	-1.392390479821726	41b1495424f06c9624f04dd34f3bc8bb	9.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.9924233812519897
23	-0.5298774575553725	-0.05374090878068184	-1.4346393710736716	41b1495424f06c9624f04dd34f3bc8bb	12.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.9924233812519897
24	-0.5317925299238931	-0.05455430430267372	-1.3911883853372944	41b1495424f06c9624f04dd34f3bc8bb	11.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.9924233812519897
25	-0.5307522511302225	-0.052973252453039105	-1.5000342976669452	41b1495424f06c9624f04dd34f3bc8bb	18.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.9924233812519897
26	-0.5295223988784216	-0.054890200822865734	-1.4385709040111991	41b1495424f06c9624f04dd34f3bc8bb	6.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.9924233812519897
27	-0.5394160253826944	-0.05252506889892794	-1.408639994179429	41b1495424f06c9624f04dd34f3bc8bb	3.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.9924233812519897
28	-0.5248585687135618	-0.02904164992899168	-1.2950725955521998	438fb020cf251f2c2f4e89552e4a78ff	14.0	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia	nan	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	nan	0.9999999999976674
29	-0.5225396658288203	-0.029563387110596976	-1.3142353463502763	438fb020cf251f2c2f4e89552e4a78ff	9.0	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia	nan	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	nan	0.9999999999976674
30	-0.525933508921196	-0.028739233465439062	-1.298896201422543	438fb020cf251f2c2f4e89552e4a78ff	12.0	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia	nan	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	nan	0.9999999999976674
31	-0.528600988560362	-0.02909858505907442	-1.3146717862417652	438fb020cf251f2c2f4e89552e4a78ff	11.0	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia	nan	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	nan	0.9999999999976674
32	-0.5271519976257184	-0.028400089079658387	-1.2751535131098282	438fb020cf251f2c2f4e89552e4a78ff	18.0	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia	nan	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	nan	0.9999999999976674
33	-0.5254389522626359	-0.02924698143766769	-1.2974687946497292	438fb020cf251f2c2f4e89552e4a78ff	6.0	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia	nan	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	nan	0.9999999999976674
34	-0.539219657206987	-0.02820208519341051	-1.3083356967180126	438fb020cf251f2c2f4e89552e4a78ff	3.0	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia	nan	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	nan	0.9999999999976674
35	-0.5402875188216797	-0.052424156287859625	-1.4282782481888516	0d55107b13eea5f6c3644255663d04f6	14.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.9812051375725047
36	-0.5403447604361458	-0.05355313970419613	-1.3835946409957873	0d55107b13eea5f6c3644255663d04f6	9.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.9812051375725047
37	-0.5402609841559357	-0.05176975943017825	-1.4193623829995672	0d55107b13eea5f6c3644255663d04f6	12.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.9812051375725047
38	-0.5401951379999341	-0.05254735781525048	-1.3825769526231644	0d55107b13eea5f6c3644255663d04f6	11.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.9812051375725047
39	-0.5402309060266987	-0.05103588728000499	-1.47472546575589	0d55107b13eea5f6c3644255663d04f6	18.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.9812051375725047
40	-0.5402731921797246	-0.05286847169477257	-1.422690803027214	0d55107b13eea5f6c3644255663d04f6	6.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.9812051375725047
41	-0.5399330184688349	-0.05060742806370719	-1.3973514147242878	0d55107b13eea5f6c3644255663d04f6	3.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.9812051375725047
42	-0.5396356152116387	-0.05888128421319795	-1.440272488532712	97651a1af7deca166a9b9c76a89ab6aa	14.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.7204861475274628
