SampleID	MouseID	BirthMode	Age_group	TimePointInWeeks
#q2:types	categorical	categorical	numeric	numeric
CSR2019.0181	F031.P1	CS	1	3
CSR2019.0182	F031.P3	CS	1	3
CSR2019.0183	F032.P1	CSR	1	3
CSR2019.0184	F032.P4	CSR	1	3
CSR2019.0185	F035.P2	CS	1	3
CSR2019.0186	F035.P4	CS	1	3
CSR2019.0187	F038.P1	CSR	1	3
CSR2019.0188	F038.P2	CSR	1	3
CSR2019.0189	F033.P2	VF	1	3
CSR2019.0190	F033.P4	VF	1	3
CSR2019.0191	F040.P1	VF	1	3
CSR2019.0192	F040.P3	VF	1	3
CSR2019.0193	F031.P1	CS	2	6
CSR2019.0194	F031.P3	CS	2	6
CSR2019.0195	F032.P1	CSR	2	6
CSR2019.0196	F032.P4	CSR	2	6
CSR2019.0197	F035.P2	CS	2	6
CSR2019.0198	F035.P4	CS	2	6
CSR2019.0199	F038.P1	CSR	2	6
CSR2019.0200	F038.P2	CSR	2	6
CSR2019.0201	F033.P2	VF	2	6
CSR2019.0202	F033.P4	VF	2	6
CSR2019.0203	F040.P1	VF	2	6
CSR2019.0204	F040.P3	VF	2	6
CSR2019.0421	F046.P6	VF	1	3
CSR2019.0422	F046.P3	VF	1	3
CSR2019.0423	F059.P6	CSR	1	3
CSR2019.0424	F059.P5	CSR	1	3
CSR2019.0569	F061.P3	VF	1	3
CSR2019.0570	F061.P7	VF	1	3
CSR2019.0571	F065.P3	CS	1	3
CSR2019.0572	F065.P6	CS	1	3
CSR2019.0573	F069.P5	CS	1	3
CSR2019.0574	F069.P6	CS	1	3
CSR2019.0575	F046.P6	VF	2	6
CSR2019.0576	F046.P3	VF	2	6
CSR2019.0577	F059.P6	CSR	2	6
CSR2019.0578	F059.P5	CSR	2	6
CSR2019.0579	F065.P3	CS	2	6
CSR2019.0580	F065.P6	CS	2	6
CSR2019.0581	F061.P3	VF	2	6
CSR2019.0582	F061.P7	VF	2	6
CSR2019.0583	F069.P5	CS	2	6
CSR2019.0584	F069.P6	CS	2	6
CSR2019.0675	F031.P1	CS	3	14
CSR2019.0676	F031.P3	CS	3	14
CSR2019.0678	F032.P4	CSR	3	14
