"comp","KW_pvalue","aov_pvalue","Sex","Age_group","Metrics","KW_padj","aov_padj"
"CS - CSR",0.6345,0.6711,"M","Week3","Faith_PD",0.967334831460674,0.9985
"CS - VF",0.2928,0.6977,"M","Week3","Faith_PD",0.967334831460674,0.9985
"CSR - VF",0.1287,0.2171,"M","Week3","Faith_PD",0.967334831460674,0.9985
"CS - CSR",0.551,0.8232,"F","Week3","Faith_PD",0.967334831460674,0.9985
"CS - VF",0.8171,0.983,"F","Week3","Faith_PD",0.967334831460674,0.9985
"CSR - VF",0.6799,0.8881,"F","Week3","Faith_PD",0.967334831460674,0.9985
"CS - CSR",0.8734,0.9112,"M","Week6","Faith_PD",0.967334831460674,0.9985
"CS - VF",0.1546,0.3872,"M","Week6","Faith_PD",0.967334831460674,0.9985
"CSR - VF",0.1127,0.1933,"M","Week6","Faith_PD",0.967334831460674,0.9985
"CS - CSR",0.5672,0.9951,"F","Week6","Faith_PD",0.967334831460674,0.9985
"CS - VF",0.5754,0.863,"F","Week6","Faith_PD",0.967334831460674,0.9985
"CSR - VF",0.9563,0.9089,"F","Week6","Faith_PD",0.976646808510638,0.9985
"CS - CSR",0.8563,0.9935,"M","Week9-14","Faith_PD",0.967334831460674,0.9985
"CS - VF",0.7299,0.9103,"M","Week9-14","Faith_PD",0.967334831460674,0.9985
"CSR - VF",0.887,0.9562,"M","Week9-14","Faith_PD",0.967334831460674,0.9985
"CS - CSR",0.6026,0.9183,"F","Week9-14","Faith_PD",0.967334831460674,0.9985
"CS - VF",0.1468,0.6121,"F","Week9-14","Faith_PD",0.967334831460674,0.9985
"CSR - VF",0.0548,0.3863,"F","Week9-14","Faith_PD",0.967334831460674,0.9985
"CS - CSR",0.6327,0.8995,"M","Week18","Faith_PD",0.967334831460674,0.9985
"CS - VF",0.7229,0.9525,"M","Week18","Faith_PD",0.967334831460674,0.9985
"CSR - VF",0.4169,0.7519,"M","Week18","Faith_PD",0.967334831460674,0.9985
"CS - CSR",0.5318,0.6649,"F","Week18","Faith_PD",0.967334831460674,0.9985
"CS - VF",0.9445,0.9578,"F","Week18","Faith_PD",0.976646808510638,0.9985
"CSR - VF",0.4828,0.7799,"F","Week18","Faith_PD",0.967334831460674,0.9985
"CS - CSR",0.407,0.5486,"M","Week3","Observed_ASVs",0.967334831460674,0.9985
"CS - VF",0.2682,0.6176,"M","Week3","Observed_ASVs",0.967334831460674,0.9985
"CSR - VF",0.0537,0.1163,"M","Week3","Observed_ASVs",0.967334831460674,0.9985
"CS - CSR",0.7895,0.8517,"F","Week3","Observed_ASVs",0.967334831460674,0.9985
"CS - VF",0.8696,0.9717,"F","Week3","Observed_ASVs",0.967334831460674,0.9985
"CSR - VF",0.6556,0.7039,"F","Week3","Observed_ASVs",0.967334831460674,0.9985
