"comp","KW_pvalue","aov_pvalue","Sex","TimePoint","Metrics","KW_padj","aov_padj"
"CS - CSR",0.6514,0.6783,"M","Week3","Faith_PD",0.967542857142857,1
"CS - VF",0.2351,0.7303,"M","Week3","Faith_PD",0.967542857142857,1
"CSR - VF",0.1042,0.2423,"M","Week3","Faith_PD",0.967542857142857,1
"CS - CSR",0.6678,0.829,"F","Week3","Faith_PD",0.967542857142857,1
"CS - VF",0.9155,0.9971,"F","Week3","Faith_PD",0.986778947368421,1
"CSR - VF",0.7221,0.8448,"F","Week3","Faith_PD",0.967542857142857,1
"CS - CSR",0.7506,0.8567,"M","Week6","Faith_PD",0.967542857142857,1
"CS - VF",0.1978,0.4873,"M","Week6","Faith_PD",0.967542857142857,1
"CSR - VF",0.1066,0.2103,"M","Week6","Faith_PD",0.967542857142857,1
"CS - CSR",0.5672,0.992,"F","Week6","Faith_PD",0.967542857142857,1
"CS - VF",0.5754,0.8499,"F","Week6","Faith_PD",0.967542857142857,1
"CSR - VF",0.9563,0.9097,"F","Week6","Faith_PD",0.986778947368421,1
"CS - CSR",0.7792,0.9928,"M","Week9-14","Faith_PD",0.967542857142857,1
"CS - VF",0.6717,0.9263,"M","Week9-14","Faith_PD",0.967542857142857,1
"CSR - VF",0.9106,0.9687,"M","Week9-14","Faith_PD",0.986778947368421,1
"CS - CSR",0.6699,0.9389,"F","Week9-14","Faith_PD",0.967542857142857,1
"CS - VF",0.1534,0.6048,"F","Week9-14","Faith_PD",0.967542857142857,1
"CSR - VF",0.0706,0.4112,"F","Week9-14","Faith_PD",0.967542857142857,1
"CS - CSR",0.6555,0.9004,"M","Week18","Faith_PD",0.967542857142857,1
"CS - VF",0.672,0.9462,"M","Week18","Faith_PD",0.967542857142857,1
"CSR - VF",0.3999,0.7427,"M","Week18","Faith_PD",0.967542857142857,1
"CS - CSR",0.5318,0.6318,"F","Week18","Faith_PD",0.967542857142857,1
"CS - VF",0.9445,0.9374,"F","Week18","Faith_PD",0.986778947368421,1
"CSR - VF",0.4828,0.7766,"F","Week18","Faith_PD",0.967542857142857,1
"CS - CSR",0.3723,0.5325,"M","Week3","Observed_ASVs",0.967542857142857,1
"CS - VF",0.263,0.6216,"M","Week3","Observed_ASVs",0.967542857142857,1
"CSR - VF",0.0451,0.1114,"M","Week3","Observed_ASVs",0.967542857142857,1
"CS - CSR",0.8215,0.868,"F","Week3","Observed_ASVs",0.967542857142857,1
"CS - VF",0.838,0.9673,"F","Week3","Observed_ASVs",0.967542857142857,1
"CSR - VF",0.6591,0.7149,"F","Week3","Observed_ASVs",0.967542857142857,1
"CS - CSR",0.7352,0.8915,"M","Week6","Observed_ASVs",0.967542857142857,1
"CS - VF",0.1918,0.3625,"M","Week6","Observed_ASVs",0.967542857142857,1
"CSR - VF",0.0986,0.1626,"M","Week6","Observed_ASVs",0.967542857142857,1
"CS - CSR",0.5799,0.879,"F","Week6","Observed_ASVs",0.967542857142857,1
"CS - VF",0.5315,0.7353,"F","Week6","Observed_ASVs",0.967542857142857,1
"CSR - VF",0.9749,0.9713,"F","Week6","Observed_ASVs",0.986778947368421,1
