"comp","KW_pvalue","aov_pvalue","Sex","TimePointInWeeks","Metrics","KW_padj","aov_padj"
"CS - CSR",0.6345,0.6711,"M",3,"Faith_PD",1,0.9999
"CS - VF",0.2928,0.6977,"M",3,"Faith_PD",1,0.9999
"CSR - VF",0.1287,0.2171,"M",3,"Faith_PD",1,0.9999
"CS - CSR",0.551,0.8232,"F",3,"Faith_PD",1,0.9999
"CS - VF",0.8171,0.983,"F",3,"Faith_PD",1,0.9999
"CSR - VF",0.6799,0.8881,"F",3,"Faith_PD",1,0.9999
"CS - CSR",0.8734,0.9112,"M",6,"Faith_PD",1,0.9999
"CS - VF",0.1546,0.3872,"M",6,"Faith_PD",1,0.9999
"CSR - VF",0.1127,0.1933,"M",6,"Faith_PD",1,0.9999
"CS - CSR",0.5672,0.9951,"F",6,"Faith_PD",1,0.9999
"CS - VF",0.5754,0.863,"F",6,"Faith_PD",1,0.9999
"CSR - VF",0.9563,0.9089,"F",6,"Faith_PD",1,0.9999
"CS - CSR",0.2094,0.3777,"M",14,"Faith_PD",1,0.9999
"CS - VF",0.1548,0.3199,"M",14,"Faith_PD",1,0.9999
"CSR - VF",1,0.9914,"M",14,"Faith_PD",1,0.9999
"CS - CSR",1,0.8245,"F",14,"Faith_PD",1,0.9999
"CS - VF",1,0.9887,"F",14,"Faith_PD",1,0.9999
"CSR - VF",1,0.8107,"F",14,"Faith_PD",1,0.9999
"CS - CSR",0.9757,0.9992,"M",11,"Faith_PD",1,0.9999
"CS - VF",0.7126,0.8976,"M",11,"Faith_PD",1,0.9999
"CSR - VF",0.7196,0.8655,"M",11,"Faith_PD",1,0.9999
"CS - CSR",0.7533,0.8912,"F",11,"Faith_PD",1,0.9999
"CS - VF",0.0383,0.0938,"F",11,"Faith_PD",1,0.9999
"CSR - VF",0.0682,0.1982,"F",11,"Faith_PD",1,0.9999
"CS - CSR",0.6327,0.8995,"M",18,"Faith_PD",1,0.9999
"CS - VF",0.7229,0.9525,"M",18,"Faith_PD",1,0.9999
"CSR - VF",0.4169,0.7519,"M",18,"Faith_PD",1,0.9999
"CS - CSR",0.5318,0.6649,"F",18,"Faith_PD",1,0.9999
"CS - VF",0.9445,0.9578,"F",18,"Faith_PD",1,0.9999
"CSR - VF",0.4828,0.7799,"F",18,"Faith_PD",1,0.9999
"CS - CSR",0.582,0.7925,"M",9,"Faith_PD",1,0.9999
"CS - VF",0.9455,0.9388,"M",9,"Faith_PD",1,0.9999
"CSR - VF",0.5916,0.9204,"M",9,"Faith_PD",1,0.9999
"CS - CSR",0.2407,0.883,"F",9,"Faith_PD",1,0.9999
"CS - VF",0.4928,0.6778,"F",9,"Faith_PD",1,0.9999
"CSR - VF",0.4928,0.9342,"F",9,"Faith_PD",1,0.9999
"CS - CSR",0.7576,0.9548,"M",12,"Faith_PD",1,0.9999
"CS - VF",0.4087,0.9848,"M",12,"Faith_PD",1,0.9999
"CSR - VF",0.3041,0.8946,"M",12,"Faith_PD",1,0.9999
"CS - CSR",0.7344,0.9662,"F",12,"Faith_PD",1,0.9999
"CS - VF",0.8388,0.9569,"F",12,"Faith_PD",1,0.9999
"CSR - VF",0.5945,0.8673,"F",12,"Faith_PD",1,0.9999
"CS - CSR",0.407,0.5486,"M",3,"Observed_ASVs",1,0.9999
"CS - VF",0.2682,0.6176,"M",3,"Observed_ASVs",1,0.9999
"CSR - VF",0.0537,0.1163,"M",3,"Observed_ASVs",1,0.9999
"CS - CSR",0.7895,0.8517,"F",3,"Observed_ASVs",1,0.9999
"CS - VF",0.8696,0.9717,"F",3,"Observed_ASVs",1,0.9999
"CSR - VF",0.6556,0.7039,"F",3,"Observed_ASVs",1,0.9999
"CS - CSR",0.7654,0.9182,"M",6,"Observed_ASVs",1,0.9999
"CS - VF",0.1851,0.3239,"M",6,"Observed_ASVs",1,0.9999
"CSR - VF",0.103,0.1598,"M",6,"Observed_ASVs",1,0.9999
"CS - CSR",0.6472,0.8863,"F",6,"Observed_ASVs",1,0.9999
"CS - VF",0.5833,0.7468,"F",6,"Observed_ASVs",1,0.9999
"CSR - VF",0.9542,0.9719,"F",6,"Observed_ASVs",1,0.9999
"CS - CSR",0.2094,0.2481,"M",14,"Observed_ASVs",1,0.9999
"CS - VF",0.1548,0.2512,"M",14,"Observed_ASVs",1,0.9999
"CSR - VF",1,0.9008,"M",14,"Observed_ASVs",1,0.9999
"CS - CSR",0.5528,0.8478,"F",14,"Observed_ASVs",1,0.9999
"CS - VF",0.3675,0.6812,"F",14,"Observed_ASVs",1,0.9999
"CSR - VF",0.2254,0.4856,"F",14,"Observed_ASVs",1,0.9999
"CS - CSR",0.711,0.9488,"M",11,"Observed_ASVs",1,0.9999
"CS - VF",0.7482,0.9537,"M",11,"Observed_ASVs",1,0.9999
"CSR - VF",0.4559,0.7925,"M",11,"Observed_ASVs",1,0.9999
"CS - CSR",0.4143,0.8203,"F",11,"Observed_ASVs",1,0.9999
"CS - VF",0.0319,0.1017,"F",11,"Observed_ASVs",1,0.9999
"CSR - VF",0.1421,0.2657,"F",11,"Observed_ASVs",1,0.9999
"CS - CSR",0.7598,0.8869,"M",18,"Observed_ASVs",1,0.9999
"CS - VF",0.5507,0.8408,"M",18,"Observed_ASVs",1,0.9999
"CSR - VF",0.3908,0.5859,"M",18,"Observed_ASVs",1,0.9999
"CS - CSR",0.5935,0.6414,"F",18,"Observed_ASVs",1,0.9999
"CS - VF",0.951,0.872,"F",18,"Observed_ASVs",1,0.9999
"CSR - VF",0.6146,0.8529,"F",18,"Observed_ASVs",1,0.9999
