"Var","KW_group","aov_group","Age_group","Metrics"
"N","a","a","Week3","Faith_PD"
"Y","b","b","Week3","Faith_PD"
"N","a","a","Week6","Faith_PD"
"Y","a","a","Week6","Faith_PD"
"N","a","a","Week9-14","Faith_PD"
"Y","a","a","Week9-14","Faith_PD"
"N","a","a","Week18","Faith_PD"
"Y","a","a","Week18","Faith_PD"
"N","a","a","Week3","Observed_ASVs"
"Y","b","b","Week3","Observed_ASVs"
"N","a","a","Week6","Observed_ASVs"
"Y","a","a","Week6","Observed_ASVs"
"N","a","a","Week9-14","Observed_ASVs"
"Y","a","a","Week9-14","Observed_ASVs"
"N","a","a","Week18","Observed_ASVs"
"Y","a","a","Week18","Observed_ASVs"
"N","a","a","Week3","Shannon_Index"
"Y","a","a","Week3","Shannon_Index"
"N","a","a","Week6","Shannon_Index"
"Y","a","a","Week6","Shannon_Index"
"N","a","a","Week9-14","Shannon_Index"
"Y","a","a","Week9-14","Shannon_Index"
"N","a","a","Week18","Shannon_Index"
"Y","a","a","Week18","Shannon_Index"
"N","a","a","Week3","Pielou_evenness"
"Y","a","a","Week3","Pielou_evenness"
"N","a","a","Week6","Pielou_evenness"
"Y","a","a","Week6","Pielou_evenness"
"N","a","a","Week9-14","Pielou_evenness"
"Y","a","a","Week9-14","Pielou_evenness"
"N","a","a","Week18","Pielou_evenness"
"Y","a","a","Week18","Pielou_evenness"
