"Parameter","Df","Sum Sq","Mean Sq","F value","Pr(>F)","Omega2_partial","CI","CI_low","CI_high","Metrics"
"Overweight",1,7.19093008938276,7.19093008938276,2.97904075578248,0.0858936277199501,0.00942494426424312,0.95,0,1,"Faith_PD"
"Sex",1,1.73403620790522,1.73403620790522,0.718372237129558,0.397691505207438,-0.00135581537558429,0.95,0,1,"Faith_PD"
"BirthMode",2,20.1341182700761,10.067059135038,4.17055639275793,0.0168074419178363,0.0295842113680786,0.95,2.48610197374181e-05,1,"Faith_PD"
"TimePoint",3,14.3071491155217,4.76904970517388,1.97571013227371,0.118854125670598,0.0138774485354932,0.95,0,1,"Faith_PD"
"Overweight",1,3750.50753478264,3750.50753478264,2.1662433394418,0.142642253122004,0.00557567665232284,0.95,0,1,"Observed_ASVs"
"Sex",1,732.151142248224,732.151142248224,0.422880775641967,0.516249373638342,-0.00278233154510216,0.95,0,1,"Observed_ASVs"
"BirthMode",2,15952.7631378384,7976.3815689192,4.60705205529443,0.0110637833793622,0.0335205916935716,0.95,0.00145568362959093,1,"Observed_ASVs"
"TimePoint",3,9337.01749806676,3112.33916602225,1.79764576552712,0.148862979897412,0.0113736579151806,0.95,0,1,"Observed_ASVs"
"Overweight",1,0.0955329760077092,0.0955329760077092,0.421313562445381,0.5170269997895,-0.00278990826745681,0.95,0,1,"Shannon_Index"
"Sex",1,1.04271058439564,1.04271058439564,4.59849707681862,0.0332065562501754,0.0170062506422823,0.95,0,1,"Shannon_Index"
"BirthMode",2,2.13603053350051,1.06801526675026,4.71009420604979,0.010026398646913,0.0344451857868806,0.95,0.00180880166906942,1,"Shannon_Index"
"TimePoint",3,1.10711322815223,0.36903774271741,1.62750719760397,0.184216362821925,0.00896940621127158,0.95,0,1,"Shannon_Index"
"Overweight",1,3.37968950754444e-05,3.37968950754444e-05,0.00818703646470911,0.927994556202133,-0.0047911774782153,0.95,0,1,"Pielou_evenness"
"Sex",1,0.0335620159855407,0.0335620159855407,8.13013882161064,0.00481031886130801,0.0331433747993956,0.95,0.0045328269458345,1,"Pielou_evenness"
"BirthMode",2,0.0288433792985913,0.0144216896492957,3.49354278781922,0.0322607607489631,0.023414966978678,0.95,0,1,"Pielou_evenness"
"TimePoint",3,0.00742112100518093,0.00247370700172698,0.599236390826317,0.616211091748185,-0.00581384983582329,0.95,0,1,"Pielou_evenness"
