"variable","Estimate","Std. Error","t value","Pr(>|t|)","Metrics"
"(Intercept)",7.73463777893829,0.209695290323689,36.8851287360769,4.65405869033054e-108,"Faith_PD"
"BirthModeCSR",-0.204709479212199,0.26576251710396,-0.770272201824916,0.441804484209762,"Faith_PD"
"BirthModeVF",0.157395153000705,0.242129641516905,0.650044959446717,0.516209802460718,"Faith_PD"
"SexM",0.272176874094308,0.203952766066205,1.33450935402345,0.18314896190173,"Faith_PD"
"Age_group.L",-0.243683405673616,0.218340219583339,-1.11607200056242,0.265372704349168,"Faith_PD"
"Age_group.Q",0.593093695706405,0.210880357149801,2.81246534159222,0.00527313518903616,"Faith_PD"
"Age_group.C",0.0544378677327045,0.203089892220784,0.268048139360495,0.788864683248847,"Faith_PD"
"(Intercept)",115.932631412246,5.49672055469615,21.0912361759409,2.98411362364211e-59,"Observed_ASVs"
"BirthModeCSR",-7.14354580798427,6.96640486382969,-1.02542788534648,0.306069071337141,"Observed_ASVs"
"BirthModeVF",4.80498670159823,6.34691878569498,0.757058166937313,0.449667900852442,"Observed_ASVs"
"SexM",5.1462947811,5.34619237128664,0.962609353292214,0.336595451328481,"Observed_ASVs"
"Age_group.L",-3.15991708337275,5.72332917467069,-0.552111714517026,0.581323511834951,"Observed_ASVs"
"Age_group.Q",18.994311658247,5.52778458656699,3.43615265044967,0.000681926236795484,"Observed_ASVs"
"Age_group.C",0.831584919948158,5.32357395007691,0.156208015094097,0.875984507820168,"Observed_ASVs"
"(Intercept)",3.09314836598892,0.0615051287505807,50.2909014064898,4.55672732606687e-140,"Shannon_Index"
"BirthModeCSR",-0.132008983482836,0.0779500474537407,-1.69350741654361,0.091499547092618,"Shannon_Index"
"BirthModeVF",-0.0166467859560417,0.0710183559813926,-0.23440117313337,0.814849246334027,"Shannon_Index"
"SexM",0.127444766731866,0.0598208053055253,2.13044217778349,0.0340290976203642,"Shannon_Index"
"Age_group.L",-0.0373271602738365,0.0640407483457261,-0.582865772778365,0.560464795966577,"Shannon_Index"
"Age_group.Q",0.20754058621155,0.0618527173283002,3.35539965220884,0.000904936282978778,"Shannon_Index"
"Age_group.C",0.00372353992138434,0.0595677182339167,0.062509359629361,0.950202949787103,"Shannon_Index"
"(Intercept)",0.662552213872558,0.00795174119668846,83.3216521368277,3.75514307909077e-196,"Pielou_evenness"
"BirthModeCSR",-0.0233204368642114,0.0100778360473862,-2.31403217462145,0.0214086145874566,"Pielou_evenness"
"BirthModeVF",-0.0102102709072747,0.0091816666097621,-1.11202805996233,0.267104393501352,"Pielou_evenness"
"SexM",0.0181809391767472,0.00773398205369229,2.3507863155782,0.0194453632928435,"Pielou_evenness"
"Age_group.L",-0.00275558504633895,0.00827956086316883,-0.332817777642896,0.73952727059064,"Pielou_evenness"
"Age_group.Q",0.0179696879754227,0.00799667947206641,2.24714370986026,0.0254297650182883,"Pielou_evenness"
"Age_group.C",0.00304441120213993,0.00770126148331805,0.395313314414076,0.692920389796586,"Pielou_evenness"
