fo,BirthMode,Age_group,Sex,Variable,Df,SumOfSqs,R2,Omega2_partial,F,Pr(>F),padj
BirthMode + Age_group + Sex,All,All,All,BirthMode,2,1.27659691338256,0.0145706710855371,0.00863998877259311,2.22014042775987,0.001,0.041
BirthMode + Age_group + Sex,All,All,All,Age_group,3,6.78863242539202,0.0774832910483128,0.0685678298883673,7.87077849388354,0.001,0.041
BirthMode + Age_group + Sex,All,All,All,Sex,1,1.07092683993011,0.0122232182905326,0.00963804601241017,3.72491574682266,0.001,0.041
BirthMode + Sex,All,Week3,All,BirthMode,2,0.806487668361999,0.0301357812482608,0.00790214858643826,1.36241159092387,0.025,0.5
BirthMode + Sex,All,Week3,All,Sex,1,0.206246448704281,0.00770674878886432,-0.00334267055933264,0.696830375279766,0.964,1
BirthMode,All,Week3,M,BirthMode,2,0.708957184977901,0.0535494036261868,0.0082934387965997,1.18816289033831,0.101,1
BirthMode,All,Week3,F,BirthMode,2,0.554196769839866,0.0416149195449689,-0.00289657184274067,0.933571263225455,0.62,1
Sex,CS,Week3,All,Sex,1,0.152186105711595,0.0193118765042045,-0.0177378476114445,0.511996400363739,0.998,1
Sex,CSR,Week3,All,Sex,1,0.281657866058996,0.0389492981047736,-0.00105234141360351,0.972667885961833,0.491,1
Sex,VF,Week3,All,Sex,1,0.229068763389455,0.0211230513746204,-0.00665863336578713,0.755260198076897,0.868,1
BirthMode + Sex,All,Week6,All,BirthMode,2,0.474042906646257,0.0237924115211358,-0.00330859740159499,0.877985592691962,0.716,1
BirthMode + Sex,All,Week6,All,Sex,1,0.55284206818332,0.0277473743578845,0.0139625909234395,2.0478626052354,0.006,0.162
BirthMode,All,Week6,M,BirthMode,2,0.415112334806306,0.0488436764198568,-0.00691329484633208,0.872982157141284,0.761,1
BirthMode,All,Week6,F,BirthMode,2,0.493063930197881,0.0453496956186064,-0.0105110751940241,0.807567778460905,0.846,1
Sex,CS,Week6,All,Sex,1,0.234652294050615,0.0398067245606157,-0.00782715989643618,0.829139832132237,0.774,1
Sex,CSR,Week6,All,Sex,1,0.475099326360495,0.0896740426046344,0.042235348052285,1.97015238060905,0.011,0.286
Sex,VF,Week6,All,Sex,1,0.277223806130141,0.0335735078676456,-0.000910304619226687,0.972715698448934,0.511,1
BirthMode + Sex,All,Week9-14,All,BirthMode,2,1.0566756087328,0.0517959852191578,0.0245281519330988,1.88007185380052,0.001,0.041
BirthMode + Sex,All,Week9-14,All,Sex,1,0.811789960895741,0.0397922129252525,0.0262729174119682,2.88872657618775,0.001,0.041
BirthMode,All,Week9-14,M,BirthMode,2,0.756409553074542,0.0778440902399634,0.021358994998023,1.39285285206666,0.017,0.391
BirthMode,All,Week9-14,F,BirthMode,2,0.8136550602066,0.082295320212475,0.022424719264507,1.38996508505187,0.041,0.779
Sex,CS,Week9-14,All,Sex,1,0.410750251541595,0.0789191979224887,0.0314182217730831,1.71362160072135,0.011,0.286
Sex,CSR,Week9-14,All,Sex,1,0.577538111004041,0.113559033407603,0.0612937946748216,2.30592073062069,0.005,0.14
Sex,VF,Week9-14,All,Sex,1,0.336890602898452,0.0371490467187982,0.000112164007166415,1.00314094450158,0.4,1
BirthMode + Sex,All,Week18,All,BirthMode,2,0.663795191374488,0.0482714161451778,0.00435283580532905,1.09836698093659,0.237,1
BirthMode + Sex,All,Week18,All,Sex,1,0.700836085213254,0.0509650427699475,0.0284830511484848,2.31931543057178,0.001,0.041
BirthMode,All,Week18,M,BirthMode,2,0.676508129533531,0.10507553093635,0.0149156643787411,1.17412736570148,0.119,1
BirthMode,All,Week18,F,BirthMode,2,0.50161591135599,0.0758345067514042,-0.0204513136752747,0.779544161085172,0.894,1
Sex,CS,Week18,All,Sex,1,0.397330774792759,0.0911588198052906,0.0246419082904578,1.40423156992144,0.088,1
Sex,CSR,Week18,All,Sex,1,0.302723242642036,0.115830105890373,0.0047805201295756,1.04803483278079,0.343,1
Sex,VF,Week18,All,Sex,1,0.515110917293496,0.0841989795148526,0.0287780396019036,1.56298433801069,0.023,0.484
Age_group + Sex,CS,All,All,Age_group,3,2.52841149165967,0.0977466005203686,0.0656119644903263,3.05976270233358,0.001,0.041
Age_group + Sex,CS,All,All,Sex,1,0.476452051398926,0.018419299425281,0.00822428299618329,1.72973847943218,0.011,0.286
Age_group + Sex,CSR,All,All,Age_group,3,2.49374183843675,0.109825953533636,0.0755580826232553,3.12507688290386,0.001,0.041
Age_group + Sex,CSR,All,All,Sex,1,0.811315863310867,0.0357308591176934,0.025610755195725,3.05014465822415,0.001,0.041
Age_group + Sex,VF,All,All,Age_group,3,3.48127787490329,0.0922028392444893,0.0670943043105231,3.73294886672931,0.001,0.041
Age_group + Sex,VF,All,All,Sex,1,0.404329428654378,0.010708803678325,0.00263059234078092,1.30067848938023,0.111,1
Age_group + BirthMode,All,All,M,Age_group,3,3.8166284555961,0.0915175613665095,0.0722573495206436,4.66060073417506,0.001,0.041
Age_group + BirthMode,All,All,M,BirthMode,2,1.04228508586809,0.0249925792927184,0.0127315462750377,1.90914888347097,0.001,0.041
Age_group + BirthMode,All,All,F,Age_group,3,4.16423678153798,0.0928385058837502,0.0727367568744407,4.63449799917577,0.001,0.041
Age_group + BirthMode,All,All,F,BirthMode,2,0.856533101749406,0.0190957569365256,0.00614744584759928,1.4298902132143,0.022,0.484
