fo,BirthMode,Age_group,Sex,Variable,Df,SumOfSqs,R2,Omega2_partial,F,Pr(>F),padj
BirthMode + Age_group + Sex,All,All,All,BirthMode,2,0.547573893648444,0.0155903521683546,0.00965301891605467,2.36459511066365,0.001,0.041
BirthMode + Age_group + Sex,All,All,All,Age_group,3,2.7910729145706,0.0794665526798263,0.0700932160297627,8.03514976864667,0.001,0.041
BirthMode + Age_group + Sex,All,All,All,Sex,1,0.171895773928444,0.00489416256487365,0.00172772155820172,1.48459928893506,0.056,1
BirthMode + Sex,All,Week3,All,BirthMode,2,0.344392294819334,0.0330881904415593,0.0109449116838668,1.50350429162017,0.018,0.576
BirthMode + Sex,All,Week3,All,Sex,1,0.100175654100788,0.00962457978983959,-0.00137917000393528,0.874668383248258,0.664,1
BirthMode,All,Week3,M,BirthMode,2,0.323562397307314,0.0674576629149072,0.0225501942245718,1.51908483387579,0.013,0.429
BirthMode,All,Week3,F,BirthMode,2,0.256694484908214,0.0465704100229139,0.00217658671743197,1.05017069537008,0.344,1
Sex,CS,Week3,All,Sex,1,0.0816016113350839,0.0252271186975674,-0.011820963111304,0.672879907430715,0.975,1
Sex,CSR,Week3,All,Sex,1,0.0942932746944933,0.0351544085328304,-0.00485241481808506,0.874446452623541,0.656,1
Sex,VF,Week3,All,Sex,1,0.160145355467405,0.0386140333616949,0.0108478911625631,1.40577376262845,0.038,1
BirthMode + Sex,All,Week6,All,BirthMode,2,0.249326788293835,0.0291315994797872,0.00182375212290441,1.06760211805378,0.307,1
BirthMode + Sex,All,Week6,All,Sex,1,0.135443441973754,0.0158253516629475,0.00215643614122863,1.15992113416438,0.226,1
BirthMode,All,Week6,M,BirthMode,2,0.23085783660825,0.0626671733172232,0.00732792742623174,1.13656741348006,0.208,1
BirthMode,All,Week6,F,BirthMode,2,0.215467282792548,0.045463737610472,-0.010393656585681,0.809695314710448,0.756,1
Sex,CS,Week6,All,Sex,1,0.126526945945428,0.0466084152354138,-0.00101288041940386,0.977739178323511,0.468,1
Sex,CSR,Week6,All,Sex,1,0.0886450396448455,0.0449598447412124,-0.0026649082999025,0.941527840345721,0.559,1
Sex,VF,Week6,All,Sex,1,0.117269787490443,0.0323683152717705,-0.00211680601942276,0.936629961496273,0.563,1
BirthMode + Sex,All,Week9-14,All,BirthMode,2,0.236081163963538,0.028618191161557,-0.00025348118472704,0.991130406809544,0.427,1
BirthMode + Sex,All,Week9-14,All,Sex,1,0.15185669006951,0.0184083461493003,0.00391416369724737,1.27506812045869,0.11,1
BirthMode,All,Week9-14,M,BirthMode,2,0.18446654654565,0.0474225498943705,-0.0100201745860674,0.821426198122101,0.859,1
BirthMode,All,Week9-14,F,BirthMode,2,0.26714682662475,0.0635061481982912,0.00299666240720448,1.05109637952213,0.326,1
Sex,CS,Week9-14,All,Sex,1,0.137572783885909,0.0597276660635638,0.0121431556992095,1.27043333953079,0.12,1
Sex,CSR,Week9-14,All,Sex,1,0.129440858785613,0.0620088828146977,0.00940800808157403,1.18994718629522,0.167,1
Sex,VF,Week9-14,All,Sex,1,0.100375256604849,0.027716773123654,-0.00932984143554413,0.741179196858296,0.818,1
BirthMode + Sex,All,Week18,All,BirthMode,2,0.252078249377904,0.0493029006462358,0.00431695034712261,1.0975525121615,0.252,1
BirthMode + Sex,All,Week18,All,Sex,1,0.148868959506269,0.0291166395274461,0.00654258829460293,1.29635540465869,0.12,1
BirthMode,All,Week18,M,BirthMode,2,0.235941497074686,0.0925748891125808,0.00175284906115462,1.02019315976441,0.364,1
BirthMode,All,Week18,F,BirthMode,2,0.216821925769795,0.0899034176749133,-0.00562670443930798,0.93845256041913,0.602,1
Sex,CS,Week18,All,Sex,1,0.0903945002665325,0.0564763343764027,-0.0102288448008812,0.837995601039923,0.55,1
Sex,CSR,Week18,All,Sex,1,0.119663748109463,0.115844180111342,0.00479478544339768,1.04817886173892,0.298,1
Sex,VF,Week18,All,Sex,1,0.139495884596853,0.0627336289509391,0.00720317792266515,1.13785336283034,0.211,1
Age_group + Sex,CS,All,All,Age_group,3,1.05291645462229,0.0965430816434349,0.0637087964208364,2.99595099743972,0.001,0.041
Age_group + Sex,CS,All,All,Sex,1,0.129913092378912,0.0119118760363448,0.00123662418496615,1.10895766796436,0.273,1
Age_group + Sex,CSR,All,All,Age_group,3,0.933001387946359,0.107122424335199,0.0704030152857586,2.96910965453746,0.001,0.041
Age_group + Sex,CSR,All,All,Sex,1,0.127926419297253,0.0146878540039544,0.00282926341213598,1.22130868671672,0.156,1
Age_group + Sex,VF,All,All,Age_group,3,1.34746562084476,0.0900922949208059,0.0648687112884802,3.63600529542615,0.001,0.041
Age_group + Sex,VF,All,All,Sex,1,0.150646984946524,0.0100723405382497,0.0019219029977708,1.21951883565418,0.178,1
Age_group + BirthMode,All,All,M,Age_group,3,1.63914096202234,0.0990259021545355,0.0800953945444824,5.09225426339352,0.001,0.041
Age_group + BirthMode,All,All,M,BirthMode,2,0.433893625936308,0.0262129424759381,0.0142884853832001,2.02194019708415,0.003,0.102
Age_group + BirthMode,All,All,F,Age_group,3,1.52735035296126,0.0830169897002288,0.0627053048337352,4.09971432209414,0.001,0.041
Age_group + BirthMode,All,All,F,BirthMode,2,0.353234473060862,0.0191995651521633,0.00603853946348135,1.42222813396147,0.035,1
