fo,BirthMode,Age_group,Sex,Variable,Df,SumOfSqs,R2,Omega2_partial,F,Pr(>F),padj
BirthMode + Age_group + Sex,All,All,All,BirthMode,2,0.463906135943986,0.0210371225528911,0.0169837032868907,3.41879861820707,0.002,0.066
BirthMode + Age_group + Sex,All,All,All,Age_group,3,2.75537197185817,0.124950056400591,0.118421025605429,13.5373101872094,0.001,0.041
BirthMode + Age_group + Sex,All,All,All,Sex,1,0.312147514459909,0.0141552029763761,0.0126967174167054,4.600799206679,0.002,0.066
BirthMode + Sex,All,Week3,All,BirthMode,2,0.136244840275512,0.0213993342472255,-0.000825900003911409,0.962452560252665,0.455,1
BirthMode + Sex,All,Week3,All,Sex,1,0.0730259877256971,0.011469847349198,0.00034857659926675,1.03173153140258,0.394,1
BirthMode,All,Week3,M,BirthMode,2,0.22641046846413,0.0783963357953981,0.033769445949344,1.78636773663898,0.042,1
BirthMode,All,Week3,F,BirthMode,2,0.0508468049267834,0.0149282309379705,-0.0301972818133622,0.325820894727271,0.986,1
Sex,CS,Week3,All,Sex,1,0.0395338669452627,0.0197696045754523,-0.0172800850708025,0.524376433704789,0.92,1
Sex,CSR,Week3,All,Sex,1,0.0685294064649211,0.0435704221061252,0.00357665556182751,1.09332684257809,0.358,1
Sex,VF,Week3,All,Sex,1,0.105975147430915,0.0398655138574285,0.0121011365804295,1.45322661059256,0.181,1
BirthMode + Sex,All,Week6,All,BirthMode,2,0.116413942306022,0.0253730720398769,-0.00176849823996766,0.934681081513576,0.503,1
BirthMode + Sex,All,Week6,All,Sex,1,0.112448181801483,0.0245087122820907,0.0107703107107546,1.80568042106428,0.147,1
BirthMode,All,Week6,M,BirthMode,2,0.0613813008240032,0.051633496651747,-0.00404007782519904,0.925559306429206,0.489,1
BirthMode,All,Week6,F,BirthMode,2,0.130894628575821,0.0398236868230628,-0.0161997831274173,0.705081625844391,0.678,1
Sex,CS,Week6,All,Sex,1,0.0327004195071992,0.022297594823942,-0.0253483674439968,0.456122327323657,0.944,1
Sex,CSR,Week6,All,Sex,1,0.0612321024268588,0.0776986186299255,0.030191276748881,1.68488566100822,0.14,1
Sex,VF,Week6,All,Sex,1,0.0943776469612261,0.0425688368347726,0.00809796514363102,1.24492232677404,0.444,1
BirthMode + Sex,All,Week9-14,All,BirthMode,2,0.536402067011883,0.0984534137878401,0.0740671261655038,3.79971636070888,0.001,0.041
BirthMode + Sex,All,Week9-14,All,Sex,1,0.267929281687518,0.0491768284615422,0.0384069381889825,3.79586633889123,0.004,0.12
BirthMode,All,Week9-14,M,BirthMode,2,0.258136823180417,0.113456327977532,0.0581638392599158,2.11160427930034,0.015,0.435
BirthMode,All,Week9-14,F,BirthMode,2,0.336076499964436,0.11510377470784,0.0564036512037365,2.01617823308317,0.04,1
Sex,CS,Week9-14,All,Sex,1,0.0564698297001085,0.0732449632704239,0.0257156079733518,1.58067580682157,0.153,1
Sex,CSR,Week9-14,All,Sex,1,0.162406735409718,0.191328815613891,0.14010811666757,4.25873797353671,0.015,0.435
Sex,VF,Week9-14,All,Sex,1,0.106863972710662,0.0323174317379418,-0.00472526116224541,0.868314933786157,0.475,1
BirthMode + Sex,All,Week18,All,BirthMode,2,0.107120972005105,0.0369636809623458,-0.00734253386869465,0.83599718418406,0.598,1
BirthMode + Sex,All,Week18,All,Sex,1,0.164571433563741,0.056787815232634,0.0336858843379696,2.56870811534208,0.026,0.702
BirthMode,All,Week18,M,BirthMode,2,0.0932814355967914,0.0879924510799746,-0.00306838432849904,0.964821521314959,0.483,1
BirthMode,All,Week18,F,BirthMode,2,0.0964018709684504,0.0575948649167623,-0.0396395435451919,0.580590232735644,0.829,1
Sex,CS,Week18,All,Sex,1,0.0737260014760042,0.0708758298774285,0.00422914616034766,1.06795372479988,0.338,1
Sex,CSR,Week18,All,Sex,1,0.0479186902528046,0.10227373726944,-0.00893895386602165,0.91140243092241,0.486,1
Sex,VF,Week18,All,Sex,1,0.125489076395072,0.0978393556001859,0.0425148905722416,1.84365063531417,0.101,1
Age_group + Sex,CS,All,All,Age_group,3,0.891857275851407,0.144563360722698,0.113592671652309,4.75905252048421,0.001,0.041
Age_group + Sex,CS,All,All,Sex,1,0.0926639427984437,0.015020128614156,0.00546312913440714,1.48339621979968,0.176,1
Age_group + Sex,CSR,All,All,Age_group,3,0.973523093714058,0.209931647602143,0.182595183187575,6.8079848139265,0.001,0.041
Age_group + Sex,CSR,All,All,Sex,1,0.198684044205919,0.0428444574368327,0.0390334384868224,4.16827694522272,0.003,0.093
Age_group + Sex,VF,All,All,Age_group,3,1.31944241102586,0.122440510220274,0.0984237531719112,5.14840412410042,0.001,0.041
Age_group + Sex,VF,All,All,Sex,1,0.153103721988714,0.0142075907824927,0.00690126287787613,1.79221122600333,0.092,1
Age_group + BirthMode,All,All,M,Age_group,3,1.44609765356856,0.163302804416895,0.14851029246325,9.19737888079111,0.001,0.041
Age_group + BirthMode,All,All,M,BirthMode,2,0.336808399037277,0.0380346071222946,0.0304376727462458,3.2132212321908,0.001,0.041
Age_group + BirthMode,All,All,F,Age_group,3,1.60949748184093,0.124887007954286,0.105577702730153,6.46919157549567,0.001,0.041
Age_group + BirthMode,All,All,F,BirthMode,2,0.256622601594053,0.0199123199931129,0.00781184597927907,1.54719792144238,0.108,1
