"CSR2019.1224_Mom_Vaginal"	"Unknown"
"CSR2019.1327_Pup_fecal"	0.896027049873204	0.103972950126796
"CSR2019.1328_Pup_fecal"	0.949260042283298	0.0507399577167019
"CSR2019.1329_Pup_fecal"	0.973639814424294	0.0263601855757064
"CSR2019.1330_Pup_fecal"	0.940393151553583	0.0596068484464172
"CSR2019.1365_Pup_fecal"	0.912336290663287	0.0876637093367131
"CSR2019.1366_Pup_fecal"	0.888912354804646	0.111087645195354
"CSR2019.1472_Pup_fecal"	0.813409234661607	0.186590765338393
"CSR2019.1473_Pup_fecal"	0.899219903014969	0.100780096985031
"CSR2019.1500_Pup_fecal"	0.795608108108108	0.204391891891892
"CSR2019.1501_Pup_fecal"	0.820215235281705	0.179784764718295
