"CSR2019.1224_Mom_Vaginal"	"Unknown"
"CSR2019.1327_Pup_fecal"	0.908084535390808	0.0919154646091916
"CSR2019.1328_Pup_fecal"	0.948674941294868	0.0513250587051325
"CSR2019.1329_Pup_fecal"	0.971160295103957	0.0288397048960429
"CSR2019.1330_Pup_fecal"	0.935505542492442	0.064494457507558
"CSR2019.1365_Pup_fecal"	0.907930107526882	0.0920698924731183
"CSR2019.1366_Pup_fecal"	0.879275653923541	0.120724346076459
"CSR2019.1472_Pup_fecal"	0.801006711409396	0.198993288590604
"CSR2019.1473_Pup_fecal"	0.869681742043551	0.130318257956449
"CSR2019.1500_Pup_fecal"	0.694360013508949	0.305639986491051
"CSR2019.1501_Pup_fecal"	0.811390284757119	0.188609715242881
