"CSR2019.1224_Mom_Vaginal"	"Unknown"
"CSR2019.1327_Pup_fecal"	0.902755905511811	0.097244094488189
"CSR2019.1328_Pup_fecal"	0.940031458906803	0.0599685410931971
"CSR2019.1329_Pup_fecal"	0.970738413197172	0.029261586802828
"CSR2019.1330_Pup_fecal"	0.936713836477987	0.0632861635220127
"CSR2019.1365_Pup_fecal"	0.910110149488592	0.0898898505114084
"CSR2019.1366_Pup_fecal"	0.882838608217024	0.117161391782976
"CSR2019.1472_Pup_fecal"	0.815520628683693	0.184479371316306
"CSR2019.1473_Pup_fecal"	0.895501866038106	0.104498133961894
"CSR2019.1500_Pup_fecal"	0.799646434885091	0.200353565114909
"CSR2019.1501_Pup_fecal"	0.824592417992536	0.175407582007464
