feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
f27c18211f38a2b8824f2a0ffa75d352	Age_group	Week9-14	4.77036143647345	0.345753664748993	280	192	2.36064841103865e-31	4.63159218245784e-28
f27c18211f38a2b8824f2a0ffa75d352	Age_group	Week18	5.31845935936175	0.399221981930212	280	192	2.46515728407004e-30	2.41831929567271e-27
afaed5b814af8fdf712ee3a2f6e146ea	Age_group	Week9-14	-3.54877396683819	0.289146260573693	280	141	3.17553728793369e-26	2.07680138630864e-23
c4a7d3b208ece70a26268344fbb93c52	Age_group	Week9-14	4.34453936907228	0.362966402607375	280	224	1.52162383234751e-25	7.18874772380304e-23
c4a7d3b208ece70a26268344fbb93c52	Age_group	Week18	4.98712680524458	0.420710925267338	280	224	1.83199483277346e-25	7.18874772380304e-23
afaed5b814af8fdf712ee3a2f6e146ea	Age_group	Week18	-3.92946290700603	0.333401727494506	280	141	3.46599370068295e-25	1.13337994012332e-22
X5a1b49ed2eeb1f595a07330646fa90d6	Age_group	Week9-14	-3.18469751785247	0.284274602327361	280	272	4.69116847321965e-23	1.31486750635099e-20
X5a1b49ed2eeb1f595a07330646fa90d6	Age_group	Week18	-3.62854966253305	0.330812874704255	280	272	1.68887039287343e-22	4.14195463852208e-20
a009250174a6396c22cbd6d4883ace66	Age_group	Week18	4.30307052746883	0.411169974150187	280	70	3.54778438623165e-21	7.73416996198499e-19
X938fa4f1324470245e04693d6dd958c1	Age_group	Week9-14	-3.00951833382407	0.284900195634223	280	190	4.19301452490888e-21	8.22669449787123e-19
X24d5e2004c0981906654773dba703657	Age_group	Week18	1.97809340565874	0.187881013499551	280	276	6.07090660855455e-21	1.08282897872582e-18
X24d5e2004c0981906654773dba703657	Age_group	Week9-14	1.64003132364997	0.160927912984879	280	276	6.94036937472647e-20	1.13475039276778e-17
db66ab43add889efc6f36d999d74bd9f	Age_group	Week6	3.68086169362302	0.367508839049785	280	171	1.32665144403195e-19	2.00222317937746e-17
db66ab43add889efc6f36d999d74bd9f	Age_group	Week9-14	3.72994610805766	0.373819659394799	280	171	1.61782234269431e-19	2.26726245454732e-17
X20cf13f228f8d16b499e9493dd2ee208	Age_group	Week18	-2.96285729557147	0.316959658801536	280	234	1.19328436940724e-17	1.56081595518468e-15
X6f5de71b512e0f950f8fe6b1d3311982	Age_group	Week9-14	-2.09444144708353	0.226635115689301	280	63	4.33107277359383e-17	5.31097798861943e-15
X20cf13f228f8d16b499e9493dd2ee208	Age_group	Week6	-2.42276254729379	0.269196594244296	280	234	1.87291319641238e-16	2.16156217138888e-14
f2d453403c34d1cd8c79163f1711eafd	Age_group	Week6	-1.6106896524771	0.182395432444976	280	48	5.58018591027977e-16	6.08240264220495e-14
db66ab43add889efc6f36d999d74bd9f	Age_group	Week18	3.7377772525422	0.433158096191484	280	171	1.08990997364534e-15	1.12547545699587e-13
f2d453403c34d1cd8c79163f1711eafd	Age_group	Week9-14	-1.61064669739852	0.185287634558796	280	48	1.24640674314429e-15	1.22272501502455e-13
X46a9bce4deb54b24813583e0f9fb9cca	Age_group	Week9-14	-2.16837321929626	0.255369945884272	280	115	1.33225582022806e-15	1.24470758061307e-13
X20cf13f228f8d16b499e9493dd2ee208	Age_group	Week9-14	-2.37525121060918	0.273781113800716	280	234	1.41849046417267e-15	1.2650355866849e-13
X938fa4f1324470245e04693d6dd958c1	Age_group	Week18	-2.85605470071152	0.331752351875391	280	190	1.67066252689448e-15	1.42514777294216e-13
a48efa77549a0058f29816ef3038a36e	Age_group	Week9-14	-1.62777523559223	0.191226116810282	280	104	3.62740127214542e-15	2.96540053997888e-13
