feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
f27c18211f38a2b8824f2a0ffa75d352	Age_group	Week9-14	4.70625157287686	0.346817240302944	280	196	1.23884318486378e-30	3.71652955459134e-29
f27c18211f38a2b8824f2a0ffa75d352	Age_group	Week18	5.37222752400204	0.400232475611034	280	196	1.11163342693746e-30	3.71652955459134e-29
a48efa77549a0058f29816ef3038a36e	Age_group	Week9-14	-3.02640698702355	0.244773609255943	280	141	9.00096059433021e-27	1.80019211886604e-25
a48efa77549a0058f29816ef3038a36e	Age_group	Week18	-3.09861960697196	0.283338752121485	280	141	1.36544942959598e-22	2.04817414439397e-21
a48efa77549a0058f29816ef3038a36e	Age_group	Week6	-2.60439390712837	0.240679948290182	280	141	5.90875382370137e-22	7.09050458844165e-21
a1008f2cef2fbdb6e9e4d8e6baae6b6a	Age_group	Week18	1.78782357984769	0.204287723849132	280	173	5.15073740532351e-16	5.15073740532351e-15
f27c18211f38a2b8824f2a0ffa75d352	Age_group	Week6	2.753181073534	0.34117726475761	280	196	5.33723853626016e-14	4.57477588822299e-13
db35c906865fb1665ab2ed219d1e567e	Age_group	Week18	1.45394814891782	0.187414127626604	280	280	3.70092878444593e-13	2.77569658833445e-12
db35c906865fb1665ab2ed219d1e567e	Age_group	Week9-14	1.15287466823107	0.160767126683139	280	280	1.33759595265835e-11	8.91730635105569e-11
a1008f2cef2fbdb6e9e4d8e6baae6b6a	Age_group	Week9-14	1.20326100904026	0.17621241070768	280	173	8.85378690580025e-11	5.31227214348015e-10
f5e7b0432a0779c0c404e9453474c530	Age_group	Week9-14	-1.15812408459451	0.216034148006045	280	280	2.16241284055552e-07	1.17949791303029e-06
f5e7b0432a0779c0c404e9453474c530	Age_group	Week6	-1.10026578889623	0.212412635068994	280	280	5.20801002845953e-07	2.60400501422977e-06
X94e1ce4bbbed8aed7c95d0a0b492b4e9	Age_group	Week6	-1.29531978911746	0.25694970768057	280	115	8.43975320593327e-07	3.89527071043074e-06
X94e1ce4bbbed8aed7c95d0a0b492b4e9	Age_group	Week9-14	-1.27579228243245	0.260982608860759	280	115	1.73659081607919e-06	7.44253206891083e-06
X5467dddfc6f0c07ff660f571f4d731ad	Age_group	Week6	1.58888336086033	0.325768986903965	280	222	2.18088766268883e-06	8.72355065075533e-06
f27c18211f38a2b8824f2a0ffa75d352	BirthMode	CSR	1.65648566031624	0.357386842724047	280	196	1.27051791429795e-05	4.48418087399277e-05
a1008f2cef2fbdb6e9e4d8e6baae6b6a	Age_group	Week6	0.776077210147228	0.173223541833738	280	173	1.22254669743249e-05	4.48418087399277e-05
cd1032dccdcdadb3b177b8bfd184fe52	Age_group	Week18	-0.289626524808237	0.086402479863166	280	280	0.000945186577451894	0.00315062192483965
X94e1ce4bbbed8aed7c95d0a0b492b4e9	Age_group	Week18	-0.993276746550426	0.299507034106042	280	115	0.00103555551255066	0.00327017530279157
cd1032dccdcdadb3b177b8bfd184fe52	Age_group	Week6	0.22801186286682	0.0737029674008727	280	280	0.00226496555622511	0.00679489666867533
X438fb020cf251f2c2f4e89552e4a78ff	Age_group	Week6	-1.33447374373552	0.436361746905256	280	251	0.00253084942726014	0.00723099836360039
X264d967e6d61a657b841b0165db6464d	Age_group	Week18	0.627145134726743	0.209512718563953	280	65	0.00306936613497087	0.00837099854992056
X5467dddfc6f0c07ff660f571f4d731ad	Age_group	Week9-14	0.899953802541493	0.331599849162378	280	222	0.00722092430945877	0.0180523107736469
f5e7b0432a0779c0c404e9453474c530	BirthMode	CSR	-0.665674343177567	0.241352716216745	280	280	0.00710682469301917	0.0180523107736469
X438fb020cf251f2c2f4e89552e4a78ff	Age_group	Week9-14	-1.17552373649102	0.444185982861284	280	251	0.00877512729478234	0.0210603055074776
f5e7b0432a0779c0c404e9453474c530	Age_group	Week18	-0.62112623446866	0.2501352180111	280	280	0.0137547287244291	0.0317416816717594
X264d967e6d61a657b841b0165db6464d	BirthMode	CSR	0.454893050432595	0.197408879273793	280	65	0.0237135167112273	0.0526967038027273
X94e1ce4bbbed8aed7c95d0a0b492b4e9	BirthMode	CS	-0.509723860345612	0.232960882587962	280	115	0.0295156720570122	0.0632478686935975
X264d967e6d61a657b841b0165db6464d	Age_group	Week9-14	0.373399193666419	0.181120212567194	280	65	0.0404799136699968	0.0837515455241312
a48efa77549a0058f29816ef3038a36e	BirthMode	CSR	-0.548161635383124	0.271587442808443	280	141	0.0467006035558602	0.0903882649468262
cd1032dccdcdadb3b177b8bfd184fe52	BirthMode	CSR	0.154777345305109	0.0762287879665147	280	280	0.0460932505446572	0.0903882649468262
