feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
f27c18211f38a2b8824f2a0ffa75d352	Age_group	Week9-14	4.75567308573247	0.346306021701057	280	192	3.7643170328532e-31	1.7617003713753e-28
f27c18211f38a2b8824f2a0ffa75d352	Age_group	Week18	5.33623315731227	0.399766930275582	280	192	1.98630164358074e-30	4.64794584597892e-28
a48efa77549a0058f29816ef3038a36e	Age_group	Week9-14	-3.02664794664186	0.244828463145898	280	141	9.11858900636369e-27	1.42249988499274e-24
afaed5b814af8fdf712ee3a2f6e146ea	Age_group	Week9-14	-3.49284902034323	0.28650372891335	280	142	5.71626087033332e-26	5.35042017463199e-24
c4a7d3b208ece70a26268344fbb93c52	Age_group	Week9-14	4.36208530078069	0.359884944231783	280	224	5.17800338145461e-26	5.35042017463199e-24
c4a7d3b208ece70a26268344fbb93c52	Age_group	Week18	4.96989804894918	0.417173542118038	280	224	1.20077748548789e-25	9.36606438680552e-24
afaed5b814af8fdf712ee3a2f6e146ea	Age_group	Week18	-3.89391215402759	0.330487157473338	280	142	3.6532703907037e-25	2.44247220407047e-23
X5a1b49ed2eeb1f595a07330646fa90d6	Age_group	Week9-14	-3.1788010257978	0.284591721386212	280	272	5.91273470514912e-23	3.45894980251224e-21
a48efa77549a0058f29816ef3038a36e	Age_group	Week18	-3.0985435607613	0.28340542438564	280	141	1.39433461979598e-22	7.25054002293911e-21
X5a1b49ed2eeb1f595a07330646fa90d6	Age_group	Week18	-3.63519489007887	0.331185738757313	280	272	1.59833525154273e-22	7.48020897721998e-21
a48efa77549a0058f29816ef3038a36e	Age_group	Week6	-2.60410927447243	0.240733463372422	280	141	6.05888316399982e-22	2.57777938250174e-20
db66ab43add889efc6f36d999d74bd9f	Age_group	Week6	3.72220890354005	0.367363418617636	280	174	5.92470782156122e-20	2.31063605040888e-18
db66ab43add889efc6f36d999d74bd9f	Age_group	Week9-14	3.76104538094573	0.373657547545978	280	174	8.80848583040633e-20	3.17105489894628e-18
f3b97a44d007c4a516573a5f19987ac2	Age_group	Week9-14	-1.98530568516901	0.219552876931872	280	280	1.27595381618573e-16	4.26533132839231e-15
a1008f2cef2fbdb6e9e4d8e6baae6b6a	Age_group	Week18	1.78824031257896	0.20475623259093	280	172	5.73698621085768e-16	1.7899396977876e-14
db66ab43add889efc6f36d999d74bd9f	Age_group	Week18	3.75147581313854	0.432866273427519	280	174	8.46244390106098e-16	2.47526484106034e-14
f3b97a44d007c4a516573a5f19987ac2	Age_group	Week6	-1.846958297774	0.21577908036311	280	280	2.98368831357341e-15	8.21391841619033e-14
X5a1b49ed2eeb1f595a07330646fa90d6	Age_group	Week6	-2.34111108688035	0.279588617438806	280	272	8.80836423856723e-15	2.29017470202748e-13
X46a9bce4deb54b24813583e0f9fb9cca	Age_group	Week9-14	-2.25938728138445	0.272608286597155	280	208	1.43507381165898e-14	3.5348133887179e-13
f27c18211f38a2b8824f2a0ffa75d352	Age_group	Week6	2.76486879639827	0.34065831665124	280	192	3.98332260050673e-14	9.32097488518574e-13
X7c60bd2ffe3eed870549edc57875acf8	Age_group	Week6	2.29761493139825	0.296131372385987	280	195	3.82813822293973e-13	8.53127946826569e-12
f3b97a44d007c4a516573a5f19987ac2	Age_group	Week18	-1.96126025079728	0.254896874442518	280	280	5.2056641854689e-13	1.10738674490884e-11
X46a9bce4deb54b24813583e0f9fb9cca	Age_group	Week18	-2.43101095321404	0.316827696267805	280	208	5.65818221203565e-13	1.15131707618812e-11
d8f099d313df42c4bd55367dfcba5b1e	Age_group	Week9-14	3.05342390416538	0.398650673119198	280	123	6.26765741854566e-13	1.2221931966164e-11
X7196309e808ea0a0343569ba13b6475a	Age_group	Week9-14	-2.12670140203583	0.285433538344204	280	187	2.52122863106069e-12	4.71973999734561e-11
X6c6dc0a7cd6856d4d841ce4192a2a325	Age_group	Week9-14	1.90176795639712	0.264261006229246	280	126	1.04099180808002e-11	1.87378525454403e-10
X7d64677a29ebe5c57f9e95558cea9241	Age_group	Week9-14	-2.12114559819359	0.30537704944215	280	174	4.84356914201012e-11	8.39551984615088e-10
f54c94ed6901807823dcb725d30dc91f	Age_group	Week9-14	-2.02773698197453	0.298884696397744	280	161	1.20648181258342e-10	2.01654817246086e-09
db7289690f70cc3fe5dd7f6a68dec65b	Age_group	Week9-14	-2.24327435089211	0.330994501980171	280	265	1.25647187376111e-10	2.02768564455242e-09
a1008f2cef2fbdb6e9e4d8e6baae6b6a	Age_group	Week9-14	1.18956438952866	0.176700156813008	280	172	1.53089867819578e-10	2.38820193798541e-09
d8f099d313df42c4bd55367dfcba5b1e	Age_group	Week18	2.96922397327594	0.458805373156784	280	123	5.67172515401017e-10	8.562475393796e-09
f54c94ed6901807823dcb725d30dc91f	Age_group	Week6	-1.83665710412239	0.294025491092315	280	161	2.40045437006762e-09	3.51066451622389e-08
afaed5b814af8fdf712ee3a2f6e146ea	Age_group	Week6	-1.73813596490686	0.281862910593499	280	142	3.82921215526402e-09	5.43051905655625e-08
X7d64677a29ebe5c57f9e95558cea9241	Age_group	Week18	-2.15220685636964	0.352779164309444	280	174	4.64667801542056e-09	6.39601562122594e-08
X7196309e808ea0a0343569ba13b6475a	Age_group	Week6	-1.71386090852574	0.280694223491101	280	187	5.10642782567293e-09	6.82802349261408e-08
X7196309e808ea0a0343569ba13b6475a	Age_group	Week18	-1.91519005610188	0.330144746640538	280	187	2.26744341199975e-08	2.94767643559968e-07
f54c94ed6901807823dcb725d30dc91f	Age_group	Week18	-1.91169843055388	0.344907585585855	280	161	8.35034383815787e-08	1.05620565304267e-06
db7289690f70cc3fe5dd7f6a68dec65b	Age_group	Week6	-1.78687891096509	0.325319675108508	280	265	1.16715291745595e-07	1.43744096149839e-06
X6c6dc0a7cd6856d4d841ce4192a2a325	Age_group	Week18	1.65958305587445	0.306194842760802	280	126	1.53093404717434e-07	1.83712085660921e-06
a009250174a6396c22cbd6d4883ace66	Age_group	Week18	1.47956830051066	0.283677619865498	280	275	4.21626306788688e-07	4.93302778942765e-06
X7c60bd2ffe3eed870549edc57875acf8	Age_group	Week9-14	1.54121153164084	0.301433173688185	280	195	7.15850926033638e-07	8.17117642399372e-06
X94e1ce4bbbed8aed7c95d0a0b492b4e9	Age_group	Week6	-1.2954874022031	0.257117325942703	280	115	8.54668856220358e-07	9.52345296931256e-06
X7d64677a29ebe5c57f9e95558cea9241	Age_group	Week6	-1.4815113313559	0.300363205571699	280	174	1.68610520176749e-06	1.83510984750508e-05
X94e1ce4bbbed8aed7c95d0a0b492b4e9	Age_group	Week9-14	-1.27597989536982	0.26115285794078	280	115	1.75671607258625e-06	1.86850709538719e-05
X1da924f9f1a5eb197f18c98773c2f0c9	Age_group	Week9-14	-1.53344489268105	0.31385136185916	280	238	2.04827401562494e-06	2.13020497624993e-05
X411b1a6f2df76cafb02680de95e8ccbf	Age_group	Week9-14	-1.40683409882431	0.291554893355629	280	249	2.70451903625723e-06	2.75155414993127e-05
X1da924f9f1a5eb197f18c98773c2f0c9	Age_group	Week6	-1.48427923694553	0.308500937950304	280	238	2.88763413079508e-06	2.87534632598318e-05
b37311b5d8a8d0b509331ba12f1fe5eb	Age_group	Week9-14	-1.05892732162355	0.220852005996525	280	139	3.09971145130822e-06	3.02221866502552e-05
cb71c522249f3d076c7b9f2c5edb629f	Age_group	Week9-14	-1.04309713132857	0.22147227971074	280	124	4.60803035498461e-06	4.40113919618938e-05
db35c906865fb1665ab2ed219d1e567e	Age_group	Week9-14	0.848199220325864	0.183364863639428	280	280	6.57523021920801e-06	6.15441548517869e-05
X6c6dc0a7cd6856d4d841ce4192a2a325	Age_group	Week6	1.19305874826949	0.259801602863992	280	126	7.53480605637526e-06	6.91429261643848e-05
db35c906865fb1665ab2ed219d1e567e	Age_group	Week18	0.978112574282993	0.213390720977908	280	280	7.75171195463803e-06	6.97654075917423e-05
c0a64c29b86aa9015d95d6ac55f9ddaa	Age_group	Week6	-1.15480646715244	0.257204150596402	280	248	1.19150922096557e-05	0.000105212512341865
f27c18211f38a2b8824f2a0ffa75d352	BirthMode	CSR	1.6622602967899	0.359336201754429	280	192	1.31276852424676e-05	0.000107785205148681
X43577e578520b2867697731105874b5d	Age_group	Week9-14	-1.36907665181947	0.306199096569919	280	184	1.30390896305874e-05	0.000107785205148681
b37311b5d8a8d0b509331ba12f1fe5eb	Age_group	Week18	-1.13987896662316	0.255392266043129	280	139	1.28173680881768e-05	0.000107785205148681
f5e7b0432a0779c0c404e9453474c530	Age_group	Week9-14	-1.4985115457033	0.335039156789103	280	274	1.2922878225623e-05	0.000107785205148681
d8f099d313df42c4bd55367dfcba5b1e	Age_group	Week6	1.74602147847424	0.392326376421102	280	123	1.38262548665348e-05	0.000110559326905015
c4a7d3b208ece70a26268344fbb93c52	Age_group	Week6	1.57443109919077	0.353787519344329	280	224	1.3938034802128e-05	0.000110559326905015
X6b44f80875b0a520f1a73d534bc76eba	Age_group	Week6	0.584598667986534	0.136600236429829	280	32	2.59337878282422e-05	0.000202283545060289
a1008f2cef2fbdb6e9e4d8e6baae6b6a	Age_group	Week6	0.740245326675188	0.173716098516556	280	172	3.06515789333609e-05	0.000235162933455949
X4080fc5501b77fa7027f0f557efe0fab	Age_group	Week18	0.759280196363446	0.185440367046239	280	105	5.94623901696147e-05	0.000447802706893503
cb71c522249f3d076c7b9f2c5edb629f	Age_group	Week6	-0.893943538210089	0.218043791590684	280	124	6.02811336202792e-05	0.000447802706893503
X964f0f57f439850529c1c1c7881ebf95	Age_group	Week6	-0.375854674857996	0.0928275888974007	280	51	7.46410955480619e-05	0.000545813011195203
X3ac588b0a9ed2cfd00a52eec1594b042	Age_group	Week18	0.89943694074011	0.223619571567672	280	43	7.97933433170859e-05	0.000574512071883019
X026322b3b8718764dae37e6324db719c	Age_group	Week9-14	-0.67607741298999	0.170062815375897	280	93	8.99977711521914e-05	0.00063816601362463
X66d3bf1e99e38f8dec7af0f72e64f335	Age_group	Week9-14	-0.568856204977863	0.1443320639714	280	47	0.000110975877140565	0.000775174783608721
f7740fb251b4636f610015fdb43d2c80	Age_group	Week18	0.790363594882759	0.201100518428047	280	106	0.000113785248882464	0.000783110242308726
X694dd510053de612f7339e2747acd98a	Age_group	Week9-14	-0.795427241860091	0.202564403420325	280	87	0.000119160229650486	0.000808217209803294
X40d3ced278c1560950b676bcd978b0c7	Age_group	Week6	-1.05256322032642	0.272974235858757	280	227	0.000153311702305026	0.00101056164336271
X8479c5090e759d6b0f74da1bd0933311	Age_group	Week6	-1.03164795383945	0.267286265133472	280	267	0.000151895907780866	0.00101056164336271
X026322b3b8718764dae37e6324db719c	Age_group	Week6	-0.641191067902884	0.167434875790843	280	93	0.000159324141392564	0.00103560691905167
X4080fc5501b77fa7027f0f557efe0fab	Age_group	Week9-14	0.609798016760589	0.159702379553652	280	105	0.000176916011686	0.00113420128039792
X7c60bd2ffe3eed870549edc57875acf8	Age_group	Week18	1.31493499074828	0.350802264404744	280	195	0.000228411596280316	0.00144454901431335
X3ae2a2aa07a75cd4a126c14bb16e1a7f	Age_group	Week18	-1.05203659533276	0.281412716692916	280	124	0.00024047328854829	0.00150055332054133
X1188c1b5a5140c35de894313d9ccf8d9	Age_group	Week6	-0.802150005615887	0.217946667100177	280	131	0.000280465686988697	0.0017270781777725
f5e7b0432a0779c0c404e9453474c530	Age_group	Week6	-1.20754780373452	0.329226811984302	280	274	0.000313980607236139	0.00189102833951081
X3ac588b0a9ed2cfd00a52eec1594b042	Age_group	Week9-14	0.701401252960315	0.191505341946976	280	43	0.000315171389918468	0.00189102833951081
X46a9bce4deb54b24813583e0f9fb9cca	Age_group	Week6	-0.975849631056018	0.267875588069094	280	208	0.000341283535336522	0.00202178094351256
d0b02d08734bda73b7c53f4164fedc19	Age_group	Week6	-0.543303997419975	0.149912301395181	280	66	0.000366657007654256	0.0021449434947774
X411b1a6f2df76cafb02680de95e8ccbf	Age_group	Week6	-1.03404670220204	0.286561575657802	280	249	0.000386715862936968	0.00223435831919137
X4cdfe4ce24f411be533e6d6e39f80f99	BirthMode	CSR	-1.11215934108221	0.30198849399355	280	209	0.000412075556827885	0.00235184586092012
X968a697c6d9d2af8d415a6516efde56c	BirthMode	CSR	-1.07918309601464	0.298685061823993	280	179	0.000515761260547334	0.00290814783055605
X73519edee336f9786d0e65d99b7eada2	Age_group	Week6	-0.413653773094959	0.117441940195527	280	42	0.000544979771049673	0.00303631586727675
X40d3ced278c1560950b676bcd978b0c7	Age_group	Week9-14	-0.962502885266655	0.277609562699604	280	227	0.000636865879503602	0.00350650860714925
X43577e578520b2867697731105874b5d	Age_group	Week18	-1.22176814503577	0.355213943880269	280	184	0.000701576743073454	0.00381788274137647
db7289690f70cc3fe5dd7f6a68dec65b	Age_group	Week18	-1.31717317194708	0.384173897208885	280	265	0.000725626826574079	0.00390337189467436
X8479c5090e759d6b0f74da1bd0933311	Age_group	Week9-14	-0.93182410477199	0.272069631077174	280	267	0.000741168795181821	0.00394167041073968
X428a6b3af0339c2456190db998ea95aa	BirthMode	CSR	-0.500348860098673	0.147979757167932	280	84	0.00106349067622557	0.00553015151637298
