feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
f27c18211f38a2b8824f2a0ffa75d352	Age_group	Week9-14	4.75328336022246	0.346141316505474	280	192	3.77473615607564e-31	5.43562006474892e-29
f27c18211f38a2b8824f2a0ffa75d352	Age_group	Week18	5.33566473456288	0.399585665853804	280	192	1.92085647325689e-30	1.38301666074496e-28
c4a7d3b208ece70a26268344fbb93c52	Age_group	Week9-14	3.74401922006965	0.292915826483119	280	269	7.3864141709576e-28	3.54547880205965e-26
c4a7d3b208ece70a26268344fbb93c52	Age_group	Week18	4.27757310453526	0.339654218146037	280	269	1.21651429017546e-27	4.37945144463166e-26
a48efa77549a0058f29816ef3038a36e	Age_group	Week9-14	-3.02647397987199	0.244784095260588	280	141	9.01712746950705e-27	2.59693271121803e-25
a48efa77549a0058f29816ef3038a36e	Age_group	Week18	-3.09837806432565	0.283352044389731	280	141	1.37911165047295e-22	3.30986796113507e-21
a48efa77549a0058f29816ef3038a36e	Age_group	Week6	-2.60432124163215	0.240690105784669	280	141	5.93981857739294e-22	1.22190553592083e-20
a1008f2cef2fbdb6e9e4d8e6baae6b6a	Age_group	Week18	1.78922510010439	0.204286132933679	280	173	4.91979676955707e-16	8.85563418520272e-15
c4a7d3b208ece70a26268344fbb93c52	Age_group	Week6	2.4262610567787	0.28793808856203	280	269	6.68672000892707e-15	1.06987520142833e-13
f27c18211f38a2b8824f2a0ffa75d352	Age_group	Week6	2.76424633028894	0.34049515252365	280	192	3.93202891121419e-14	5.66212163214844e-13
X7c60bd2ffe3eed870549edc57875acf8	Age_group	Week6	2.29674647209351	0.296028908907934	280	195	3.83445495468147e-13	5.0196501224921e-12
a1008f2cef2fbdb6e9e4d8e6baae6b6a	Age_group	Week9-14	1.20325937050982	0.176212005202013	280	173	8.85352017384478e-11	1.06242242086137e-09
f5e7b0432a0779c0c404e9453474c530	Age_group	Week9-14	-1.58547440765679	0.283504633658003	280	280	6.89857676385481e-08	7.64150041534686e-07
X8f20e8d05e62fad83c0accad82df42af	Age_group	Week9-14	-1.20169460295693	0.220445724262301	280	273	1.46824064693874e-07	1.51019037970842e-06
