feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
f27c18211f38a2b8824f2a0ffa75d352	Age_group	Week9-14	4.76297861136521	0.346634000462503	280	192	3.54553865578799e-31	2.82933984731881e-28
f27c18211f38a2b8824f2a0ffa75d352	Age_group	Week18	5.34665970243434	0.400167668464484	280	192	1.81046320521942e-30	7.22374818882548e-28
afaed5b814af8fdf712ee3a2f6e146ea	Age_group	Week9-14	-3.49289264411254	0.286973436508679	280	142	6.5790863188803e-26	1.31252772061662e-23
c4a7d3b208ece70a26268344fbb93c52	Age_group	Week9-14	4.36770300456703	0.360359670744958	280	224	5.19165324701016e-26	1.31252772061662e-23
c4a7d3b208ece70a26268344fbb93c52	Age_group	Week18	4.97632564621916	0.417742045393962	280	224	1.21088284154634e-25	1.93256901510796e-23
a48efa77549a0058f29816ef3038a36e	Age_group	Week9-14	-2.78472441706747	0.232825147556035	280	138	1.74077744087167e-25	2.31523399635931e-23
afaed5b814af8fdf712ee3a2f6e146ea	Age_group	Week18	-3.89723251259821	0.331026260975024	280	142	3.905149771236e-25	4.45187073920904e-23
X5a1b49ed2eeb1f595a07330646fa90d6	Age_group	Week9-14	-3.17420061588491	0.28467736441105	280	272	6.79977836523643e-23	6.78277891932334e-21
X5a1b49ed2eeb1f595a07330646fa90d6	Age_group	Week18	-3.62895519326158	0.331277756353071	280	272	1.86811353122459e-22	1.65639399768581e-20
a48efa77549a0058f29816ef3038a36e	Age_group	Week18	-2.79751970346146	0.269554537105277	280	138	7.56823567981767e-21	6.0394520724945e-19
a48efa77549a0058f29816ef3038a36e	Age_group	Week6	-2.39139010926205	0.228925102782258	280	138	8.34434507808255e-21	6.05344306573625e-19
db66ab43add889efc6f36d999d74bd9f	Age_group	Week9-14	3.74074231335192	0.37269483942788	280	172	1.0732604247135e-19	7.13718182434477e-18
db66ab43add889efc6f36d999d74bd9f	Age_group	Week6	3.67461260235508	0.366404826603136	280	172	1.20869226610011e-19	7.41951098729143e-18
f3b97a44d007c4a516573a5f19987ac2	Age_group	Week9-14	-1.97896205888092	0.220038213645615	280	280	1.75274663940057e-16	9.99065584458323e-15
db66ab43add889efc6f36d999d74bd9f	Age_group	Week18	3.71774167663649	0.431841198182943	280	172	1.24145697622536e-15	6.60455111351893e-14
f3b97a44d007c4a516573a5f19987ac2	Age_group	Week6	-1.84146343977686	0.216256668584884	280	280	3.95251304918296e-15	1.97131588328e-13
X5a1b49ed2eeb1f595a07330646fa90d6	Age_group	Week6	-2.33589734309945	0.279673884478815	280	272	1.00839076858032e-14	4.47877047442407e-13
X46a9bce4deb54b24813583e0f9fb9cca	Age_group	Week9-14	-2.22685294459145	0.266369937639598	280	153	1.0102489791934e-14	4.47877047442407e-13
f27c18211f38a2b8824f2a0ffa75d352	Age_group	Week6	2.77234557172329	0.340978088827249	280	192	3.640135529145e-14	1.5288569222409e-12
X7c60bd2ffe3eed870549edc57875acf8	Age_group	Week6	2.3037368968936	0.296393780355707	280	195	3.52047192117583e-13	1.40466829654915e-11
X7d64677a29ebe5c57f9e95558cea9241	Age_group	Week9-14	-2.24796525521575	0.292220762493373	280	165	5.75160178554233e-13	2.18560867850608e-11
d8f099d313df42c4bd55367dfcba5b1e	Age_group	Week9-14	3.05996039207654	0.399432290860088	280	123	6.21627755213724e-13	2.25481340300251e-11
f3b97a44d007c4a516573a5f19987ac2	Age_group	Week18	-1.95520524724552	0.255456063375199	280	280	6.66808007507537e-13	2.31353386952615e-11
X6c6dc0a7cd6856d4d841ce4192a2a325	Age_group	Week9-14	1.90546468689634	0.264887092875511	280	126	1.05951486523636e-11	3.5228869269109e-10
X46a9bce4deb54b24813583e0f9fb9cca	Age_group	Week18	-2.20425305865347	0.310245607210823	280	153	1.8620684427062e-11	5.94372246911819e-10
e7992c99e4dc5a41a9d2095b60916fb7	Age_group	Week9-14	1.52492981045099	0.222446597863678	280	275	8.44225195167856e-11	2.59112194516903e-09
d002c2b7e2cac141277f748e1985456d	Age_group	Week9-14	-1.4060203523612	0.207700778997492	280	101	1.3867810134297e-10	3.9834110975106e-09
db7289690f70cc3fe5dd7f6a68dec65b	Age_group	Week9-14	-2.23724325892562	0.331022940757112	280	265	1.39768810438968e-10	3.9834110975106e-09
c7572bd5051cec0c6dad00f12d7027e0	Age_group	Week18	1.0988860127855	0.167856580047316	280	115	3.90478595453707e-10	1.07448937645537e-08
d8f099d313df42c4bd55367dfcba5b1e	Age_group	Week18	2.97464346170934	0.459662599096077	280	123	5.67820247005566e-10	1.51040185703481e-08
X7d64677a29ebe5c57f9e95558cea9241	Age_group	Week18	-2.14605347117774	0.338364781170671	280	165	1.26218636945546e-09	3.24911200911437e-08
f54c94ed6901807823dcb725d30dc91f	Age_group	Week6	-1.44504574313163	0.232200516313805	280	72	1.82572203207859e-09	4.4149278230264e-08
e7992c99e4dc5a41a9d2095b60916fb7	Age_group	Week6	1.37765169627784	0.218565925936737	280	275	1.81810391173939e-09	4.4149278230264e-08
afaed5b814af8fdf712ee3a2f6e146ea	Age_group	Week6	-1.73498923676767	0.282325357979344	280	142	4.28593814968672e-09	1.00593489513235e-07
X46a9bce4deb54b24813583e0f9fb9cca	Age_group	Week6	-1.54086584995961	0.261647348143727	280	153	1.61254210534326e-08	3.67659600018264e-07
be5fd4a316759dd9b19669af1aedef1c	Age_group	Week6	-1.10381931418943	0.195731351600367	280	110	5.95731118175282e-08	1.32053731195521e-06
X7196309e808ea0a0343569ba13b6475a	Age_group	Week9-14	-1.50051767035921	0.269482635293513	280	150	8.13524212751075e-08	1.7545738426361e-06
X798dd9a3facfa4088a8d5377f569f80f	Age_group	Week9-14	-1.117575262373	0.20248173839042	280	119	1.0376438756758e-07	2.13056712470731e-06
X1da924f9f1a5eb197f18c98773c2f0c9	Age_group	Week9-14	-1.58394239530155	0.287286296159256	280	187	1.04125460981936e-07	2.13056712470731e-06
f54c94ed6901807823dcb725d30dc91f	Age_group	Week18	-1.47238253087814	0.270658754924508	280	72	1.18475695149791e-07	2.36359011823833e-06
f54c94ed6901807823dcb725d30dc91f	Age_group	Week9-14	-1.27992969938151	0.235844971661645	280	72	1.26528822100675e-07	2.41091322898654e-06
db7289690f70cc3fe5dd7f6a68dec65b	Age_group	Week6	-1.78149894907908	0.325343849822269	280	265	1.2689016994666e-07	2.41091322898654e-06
X6c6dc0a7cd6856d4d841ce4192a2a325	Age_group	Week18	1.6661509155517	0.306905913001639	280	126	1.46495927661315e-07	2.71869186683092e-06
X96bb35ad57d9c30cfb576f6f7440308a	Age_group	Week9-14	-1.16350237654398	0.214193909240418	280	125	1.60825014616499e-07	2.91678094690833e-06
a009250174a6396c22cbd6d4883ace66	Age_group	Week18	1.70444007343974	0.315465899029376	280	271	1.6846201568582e-07	2.98739307816188e-06
d002c2b7e2cac141277f748e1985456d	Age_group	Week18	-1.24177752423727	0.239824690963688	280	101	5.08170060520425e-07	8.81564583250651e-06
ebdb83c3ce6ffb9baa5d797041283e86	Age_group	Week18	0.626009378716168	0.121802457503794	280	64	5.82357693241387e-07	9.88769019588567e-06
X96bb35ad57d9c30cfb576f6f7440308a	Age_group	Week18	-1.26918303925471	0.246798978361258	280	125	5.98647914238865e-07	9.95252157422113e-06
X7d64677a29ebe5c57f9e95558cea9241	Age_group	Week6	-1.47863801718788	0.287319841505188	280	165	6.20363250896788e-07	1.0103058657462e-05
X7c60bd2ffe3eed870549edc57875acf8	Age_group	Week9-14	1.54549943472075	0.301700150802342	280	195	6.84006000851869e-07	1.09167357735958e-05
c7572bd5051cec0c6dad00f12d7027e0	Age_group	Week9-14	0.741492452119387	0.145209710637569	280	115	7.31176294173155e-07	1.14407584852976e-05
X94e1ce4bbbed8aed7c95d0a0b492b4e9	Age_group	Week6	-1.29684291673183	0.257794078219458	280	115	8.87819191024684e-07	1.36246098930326e-05
X7f24d351bdd93a0dc8a128f9bbc0807e	Age_group	Week6	-1.17706556447797	0.232463569111768	280	183	9.32599856185361e-07	1.40417865138852e-05
bf4edd2df7c2f25c72a3a7f7403f2939	Age_group	Week9-14	-1.01513692194946	0.20397717625975	280	63	1.14661767967001e-06	1.63393019352976e-05
edb57125ed61b2ca06d40c1565c17126	Age_group	Week9-14	-1.27137552200607	0.252918509048427	280	127	1.12065521213491e-06	1.63393019352976e-05
e7992c99e4dc5a41a9d2095b60916fb7	Age_group	Week18	1.29648326224504	0.258660894413401	280	275	1.135355732676e-06	1.63393019352976e-05
X1c4847a64fdfa78a6094a2b60936d0b0	Age_group	Week9-14	-0.947486602724597	0.190374476653113	280	79	1.40502260034308e-06	1.96703164048031e-05
f3f2089c783d5c2917c08214dc8524a0	Age_group	Week9-14	-0.902884684081512	0.182426725056446	280	35	1.5232983134108e-06	2.09584836914107e-05
X798dd9a3facfa4088a8d5377f569f80f	Age_group	Week18	-1.1480282211223	0.233532580285588	280	119	1.72509543702983e-06	2.33326467584713e-05
X94e1ce4bbbed8aed7c95d0a0b492b4e9	Age_group	Week9-14	-1.27633130037577	0.261840232043418	280	115	1.85335033232949e-06	2.44539318941987e-05
db35c906865fb1665ab2ed219d1e567e	Age_group	Week9-14	0.979653241639551	0.199632256761497	280	280	1.86928552073449e-06	2.44539318941987e-05
X7196309e808ea0a0343569ba13b6475a	Age_group	Week6	-1.29377355349679	0.265275813175266	280	150	2.20071187191392e-06	2.83252915126985e-05
X2c84a40f19efd36d4e86812cf7091ac5	Age_group	Week6	-1.57796315899598	0.327048444560103	280	270	2.33305021595145e-06	2.95519694020517e-05
a4ab293fb73c2a48d7810ee5b47b637c	Age_group	Week9-14	-1.30310562418786	0.270129582400249	280	206	2.73229633556491e-06	3.40683199340749e-05
b37311b5d8a8d0b509331ba12f1fe5eb	Age_group	Week9-14	-1.0574775863455	0.221221098621435	280	139	3.30849808011252e-06	4.06181764296891e-05
X96bb35ad57d9c30cfb576f6f7440308a	Age_group	Week6	-1.00371589688574	0.210759846543286	280	125	3.70286220021554e-06	4.47709702389697e-05
d002c2b7e2cac141277f748e1985456d	Age_group	Week6	-0.969578272089331	0.204305731632537	280	101	3.96894052552693e-06	4.72718587965745e-05
X4080fc5501b77fa7027f0f557efe0fab	Age_group	Week9-14	0.678952483690681	0.143821441233291	280	88	4.26483175566168e-06	5.00490550149709e-05
cb71c522249f3d076c7b9f2c5edb629f	Age_group	Week9-14	-1.04376806714517	0.22181303761709	280	124	4.69364103789232e-06	5.42829789599721e-05
ff408a41338d52c3115620bb5ef44b87	Age_group	Week6	-0.997728112983879	0.212694214480424	280	95	5.01746936712665e-06	5.70923206443523e-05
a4ab293fb73c2a48d7810ee5b47b637c	Age_group	Week6	-1.24485944771069	0.265635104066245	280	206	5.07964256359526e-06	5.70923206443523e-05
db35c906865fb1665ab2ed219d1e567e	Age_group	Week18	1.0877942118766	0.232586278645935	280	280	5.16788297763597e-06	5.72773696687987e-05
X6c6dc0a7cd6856d4d841ce4192a2a325	Age_group	Week6	1.20001847558546	0.260419053676918	280	126	7.03146344841217e-06	7.50057891565954e-05
ff408a41338d52c3115620bb5ef44b87	Age_group	Week9-14	-0.996739428877277	0.216144060728187	280	95	7.04941627411611e-06	7.50057891565954e-05
X4ffc59a4f2fc9339077a288b0ae1e3a5	Age_group	Week9-14	-0.735326809684109	0.159459101611208	280	85	6.88839285896329e-06	7.50057891565954e-05
ebdb83c3ce6ffb9baa5d797041283e86	Age_group	Week9-14	0.484248255338304	0.105533822069654	280	64	7.51895658257943e-06	7.8949044117084e-05
