feature,metadata,value,coef,stderr,N,N.not.0,pval,qval,Group,id,Kingdom,Phylum,Class,Order,Family,Genus,Species,ASV,level
f27c18211f38a2b8824f2a0ffa75d352,Age_group,Week9-14,4.77036143647345,0.345753664748993,280,192,2.36064841103865e-31,4.63159218245784e-28,compare_all,f27c18211f38a2b8824f2a0ffa75d352,k_Bacteria,p_Actinobacteriota,c_Actinobacteria,o_Bifidobacteriales,f_Bifidobacteriaceae,g_Bifidobacterium,s_,asv_29,ASV
f27c18211f38a2b8824f2a0ffa75d352,Age_group,Week18,5.31845935936175,0.399221981930212,280,192,2.46515728407004e-30,2.41831929567271e-27,compare_all,f27c18211f38a2b8824f2a0ffa75d352,k_Bacteria,p_Actinobacteriota,c_Actinobacteria,o_Bifidobacteriales,f_Bifidobacteriaceae,g_Bifidobacterium,s_,asv_29,ASV
afaed5b814af8fdf712ee3a2f6e146ea,Age_group,Week9-14,-3.54877396683819,0.289146260573693,280,141,3.17553728793369e-26,2.07680138630864e-23,compare_all,afaed5b814af8fdf712ee3a2f6e146ea,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Clostridiaceae,g_Candidatus_Arthromitus,s_uncultured_bacterium,asv_298,ASV
c4a7d3b208ece70a26268344fbb93c52,Age_group,Week9-14,4.34453936907228,0.362966402607375,280,224,1.52162383234751e-25,7.18874772380304e-23,compare_all,c4a7d3b208ece70a26268344fbb93c52,k_Bacteria,p_Firmicutes,c_Bacilli,o_Erysipelotrichales,f_Erysipelotrichaceae,g_Turicibacter,s_,asv_635,ASV
c4a7d3b208ece70a26268344fbb93c52,Age_group,Week18,4.98712680524458,0.420710925267338,280,224,1.83199483277346e-25,7.18874772380304e-23,compare_all,c4a7d3b208ece70a26268344fbb93c52,k_Bacteria,p_Firmicutes,c_Bacilli,o_Erysipelotrichales,f_Erysipelotrichaceae,g_Turicibacter,s_,asv_635,ASV
afaed5b814af8fdf712ee3a2f6e146ea,Age_group,Week18,-3.92946290700603,0.333401727494506,280,141,3.46599370068295e-25,1.13337994012332e-22,compare_all,afaed5b814af8fdf712ee3a2f6e146ea,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Clostridiaceae,g_Candidatus_Arthromitus,s_uncultured_bacterium,asv_298,ASV
5a1b49ed2eeb1f595a07330646fa90d6,Age_group,Week9-14,-3.18469751785247,0.284274602327361,280,272,4.69116847321965e-23,1.31486750635099e-20,compare_all,5a1b49ed2eeb1f595a07330646fa90d6,k_Bacteria,p_Bacteroidota,c_Bacteroidia,o_Bacteroidales,f_Prevotellaceae,g_Prevotellaceae_UCG-001,s_uncultured_Bacteroidales,asv_1045,ASV
5a1b49ed2eeb1f595a07330646fa90d6,Age_group,Week18,-3.62854966253305,0.330812874704255,280,272,1.68887039287343e-22,4.14195463852208e-20,compare_all,5a1b49ed2eeb1f595a07330646fa90d6,k_Bacteria,p_Bacteroidota,c_Bacteroidia,o_Bacteroidales,f_Prevotellaceae,g_Prevotellaceae_UCG-001,s_uncultured_Bacteroidales,asv_1045,ASV
a009250174a6396c22cbd6d4883ace66,Age_group,Week18,4.30307052746883,0.411169974150187,280,70,3.54778438623165e-21,7.73416996198499e-19,compare_all,a009250174a6396c22cbd6d4883ace66,k_Bacteria,p_Bacteroidota,c_Bacteroidia,o_Bacteroidales,f_Rikenellaceae,g_Alistipes,s_uncultured_bacterium,asv_846,ASV
938fa4f1324470245e04693d6dd958c1,Age_group,Week9-14,-3.00951833382407,0.284900195634223,280,190,4.19301452490888e-21,8.22669449787123e-19,compare_all,938fa4f1324470245e04693d6dd958c1,k_Bacteria,p_Bacteroidota,c_Bacteroidia,o_Bacteroidales,f_Muribaculaceae,g_Muribaculaceae,s_uncultured_bacterium,asv_2368,ASV
