feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
f27c18211f38a2b8824f2a0ffa75d352	TimePoint	Week9-14	4.71184250679517	0.336184278508041	280	186	5.62759864386053e-32	2.59995057346356e-29
f27c18211f38a2b8824f2a0ffa75d352	TimePoint	Week18	5.16888163937739	0.388833688350276	280	186	3.80980032230618e-30	8.80063874452728e-28
c4a7d3b208ece70a26268344fbb93c52	TimePoint	Week9-14	4.44277061802656	0.342617851941713	280	216	1.1446974721261e-28	1.7628341070742e-26
c4a7d3b208ece70a26268344fbb93c52	TimePoint	Week18	5.03454508971791	0.397489706645301	280	216	4.95925347964349e-28	5.72793776898823e-26
afaed5b814af8fdf712ee3a2f6e146ea	TimePoint	Week9-14	-3.36589155725861	0.271422157729464	280	144	1.17399274731865e-26	1.08476929852244e-24
afaed5b814af8fdf712ee3a2f6e146ea	TimePoint	Week18	-3.71610400053621	0.313362963878619	280	144	2.05841134321535e-25	1.58497673427582e-23
a48efa77549a0058f29816ef3038a36e	TimePoint	Week9-14	-2.83623295148836	0.240946444678521	280	134	6.15335051570939e-25	4.0612113403682e-23
X5a1b49ed2eeb1f595a07330646fa90d6	TimePoint	Week18	-3.66194554365235	0.335681739280727	280	270	2.28787305039269e-22	1.32124668660178e-20
X5a1b49ed2eeb1f595a07330646fa90d6	TimePoint	Week9-14	-3.15864435445227	0.288782058825151	280	270	2.79995691497782e-22	1.43731121635528e-20
a48efa77549a0058f29816ef3038a36e	TimePoint	Week18	-2.95729090994067	0.277468667832651	280	134	8.24166795050366e-22	3.80765059313269e-20
a48efa77549a0058f29816ef3038a36e	TimePoint	Week6	-2.40884075917834	0.237103191531748	280	134	5.77869382214437e-20	2.42705140530064e-18
db66ab43add889efc6f36d999d74bd9f	TimePoint	Week9-14	3.49528092340043	0.357794269205503	280	173	6.84691221958943e-19	2.63606120454193e-17
db66ab43add889efc6f36d999d74bd9f	TimePoint	Week6	3.42602962057913	0.351728965903582	280	173	8.78874413577156e-19	3.12338445440497e-17
f3b97a44d007c4a516573a5f19987ac2	TimePoint	Week9-14	-1.90963024558718	0.21071559876938	280	280	1.08562259228418e-16	3.5825545545378e-15
db66ab43add889efc6f36d999d74bd9f	TimePoint	Week18	3.54482359025433	0.414774463273217	280	173	1.89955142435476e-15	5.85061838701266e-14
f3b97a44d007c4a516573a5f19987ac2	TimePoint	Week6	-1.77994467103239	0.207077737919394	280	280	2.30643278110759e-15	6.65982465544816e-14
X5a1b49ed2eeb1f595a07330646fa90d6	TimePoint	Week6	-2.41655581740379	0.283760488483989	280	270	3.46376282389084e-15	9.41328485080922e-14
f27c18211f38a2b8824f2a0ffa75d352	TimePoint	Week6	2.7368779146281	0.330603821903984	280	186	1.48168219206677e-14	3.80298429297138e-13
f3b97a44d007c4a516573a5f19987ac2	TimePoint	Week18	-1.98942028077972	0.244751414253739	280	280	3.48967814253333e-14	8.48542790447578e-13
X9179082205356f48318aba87639426b1	TimePoint	Week9-14	-2.13636231496667	0.270381533480841	280	200	1.60113143532016e-13	3.69861361558958e-12
X6c6dc0a7cd6856d4d841ce4192a2a325	TimePoint	Week9-14	1.90933632562167	0.243467933964735	280	130	2.09886181737079e-13	4.61749599821573e-12
X7c60bd2ffe3eed870549edc57875acf8	TimePoint	Week6	2.17779358618368	0.280731774636104	280	190	3.85106224440851e-13	8.08723071325786e-12
X7d64677a29ebe5c57f9e95558cea9241	TimePoint	Week9-14	-2.1377926333526	0.277058855507122	280	172	5.14220699817352e-13	1.03291288398094e-11
a1008f2cef2fbdb6e9e4d8e6baae6b6a	TimePoint	Week18	1.48591580439705	0.193693227953364	280	160	5.50941867833335e-13	1.06056309557917e-11
d8f099d313df42c4bd55367dfcba5b1e	TimePoint	Week9-14	2.85760428654162	0.376103160067601	280	118	8.96768066227166e-13	1.6572273863878e-11
X9179082205356f48318aba87639426b1	TimePoint	Week18	-2.27080403098054	0.313228502074595	280	200	6.98794864658303e-12	1.24170472104668e-10
d8f099d313df42c4bd55367dfcba5b1e	TimePoint	Week18	3.12194593540353	0.433282832074894	280	118	7.98268647245133e-12	1.36592635195278e-10
