feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
f27c18211f38a2b8824f2a0ffa75d352	TimePoint	Week9-14	4.70922051327832	0.336037817275856	280	186	5.69652010107662e-32	8.20298894555033e-30
f27c18211f38a2b8824f2a0ffa75d352	TimePoint	Week18	5.16786215905512	0.388670170762294	280	186	3.72946123823342e-30	2.68521209152807e-28
c4a7d3b208ece70a26268344fbb93c52	TimePoint	Week9-14	3.85880473260707	0.286153450478466	280	267	5.82242104001116e-30	2.79476209920536e-28
c4a7d3b208ece70a26268344fbb93c52	TimePoint	Week18	4.41660666634361	0.332147131213216	280	267	8.85677667138411e-30	3.18843960169828e-28
a48efa77549a0058f29816ef3038a36e	TimePoint	Week9-14	-2.83611813552854	0.240894790948802	280	134	6.06331866583477e-25	1.74623577576041e-23
a48efa77549a0058f29816ef3038a36e	TimePoint	Week18	-2.95718173225705	0.277406006847821	280	134	8.12003560287983e-22	1.94880854469116e-20
a48efa77549a0058f29816ef3038a36e	TimePoint	Week6	-2.409245376138	0.237052764766027	280	134	5.62724473441508e-20	1.15760463107967e-18
c4a7d3b208ece70a26268344fbb93c52	TimePoint	Week6	2.52188720224481	0.281244830586158	280	267	2.21365176945494e-16	3.9845731850189e-15
f27c18211f38a2b8824f2a0ffa75d352	TimePoint	Week6	2.73615695055647	0.330459018599891	280	186	1.46809334993664e-14	2.34894935989863e-13
X7c60bd2ffe3eed870549edc57875acf8	TimePoint	Week6	2.17684859225575	0.280663621655204	280	190	3.88608008174404e-13	5.59595531771141e-12
a1008f2cef2fbdb6e9e4d8e6baae6b6a	TimePoint	Week18	1.48675217719757	0.19401490311572	280	161	5.82303935334124e-13	7.62288788073762e-12
a1008f2cef2fbdb6e9e4d8e6baae6b6a	TimePoint	Week9-14	1.12194513399028	0.166850837776137	280	161	1.63323853241035e-10	1.95988623889242e-09
X7c60bd2ffe3eed870549edc57875acf8	TimePoint	Week9-14	1.65956655344661	0.285665245494022	280	190	2.31300875389604e-08	2.56210200431562e-07
a1008f2cef2fbdb6e9e4d8e6baae6b6a	TimePoint	Week6	0.904946405884942	0.163939947688975	280	161	9.98635390402342e-08	1.02716783012812e-06
f5e7b0432a0779c0c404e9453474c530	TimePoint	Week9-14	-1.54823085512349	0.288440149933308	280	280	2.09186993795317e-07	2.00819514043504e-06
X94e1ce4bbbed8aed7c95d0a0b492b4e9	TimePoint	Week6	-1.24397355399403	0.236544834148902	280	115	2.92947093858478e-07	2.60023027030198e-06
X8f20e8d05e62fad83c0accad82df42af	TimePoint	Week9-14	-1.15113435727718	0.217207960151136	280	276	3.06971629132872e-07	2.60023027030198e-06
f5e7b0432a0779c0c404e9453474c530	TimePoint	Week6	-1.40708258365368	0.283634928205236	280	280	1.45069960880545e-06	1.16055968704436e-05
c0a64c29b86aa9015d95d6ac55f9ddaa	TimePoint	Week6	-1.26574883244945	0.26374979076993	280	240	3.08232739681953e-06	2.33607971127375e-05
db35c906865fb1665ab2ed219d1e567e	TimePoint	Week18	0.976726658431779	0.213719525335872	280	280	8.23060603563816e-06	5.92603634565947e-05
db35c906865fb1665ab2ed219d1e567e	TimePoint	Week9-14	0.830028793674746	0.18361633216708	280	280	1.03846115579313e-05	7.12087649686715e-05
X8f20e8d05e62fad83c0accad82df42af	TimePoint	Week6	-0.958614185213162	0.213297164951063	280	276	1.18727406967087e-05	7.77124845602753e-05
X6c6dc0a7cd6856d4d841ce4192a2a325	TimePoint	Week9-14	1.10831952477959	0.254902602853812	280	210	2.13874866104262e-05	0.000133904263995712
X40d3ced278c1560950b676bcd978b0c7	TimePoint	Week6	-1.11132269187984	0.256619976328034	280	215	2.29508648405014e-05	0.000137705189043009
X7c60bd2ffe3eed870549edc57875acf8	TimePoint	Week18	1.38707516760899	0.332296307691815	280	190	4.32802387357581e-05	0.000249294175117967
