feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
f27c18211f38a2b8824f2a0ffa75d352	TimePoint	Week9-14	4.45503299386758	0.296882823986055	280	224	5.91930753255771e-35	2.8412676156277e-33
f27c18211f38a2b8824f2a0ffa75d352	TimePoint	Week18	5.06189867319552	0.344311256985316	280	224	1.64922600244332e-34	3.95814240586398e-33
X2c796538ebe5bdf80383a492e53c2719	TimePoint	Week9-14	-2.85316125915714	0.239046899902643	280	144	1.98981133247992e-25	3.18369813196788e-24
X2c796538ebe5bdf80383a492e53c2719	TimePoint	Week18	-2.92204682020072	0.275444318785749	280	144	1.22832874950531e-21	1.47399449940637e-20
f27c18211f38a2b8824f2a0ffa75d352	TimePoint	Week6	2.89879967638567	0.291829910497524	280	224	3.06071891544636e-19	2.64448566036921e-18
X2c796538ebe5bdf80383a492e53c2719	TimePoint	Week6	-2.33061299798743	0.235213213792945	280	144	3.30560707546152e-19	2.64448566036921e-18
X94e1ce4bbbed8aed7c95d0a0b492b4e9	TimePoint	Week6	-1.24386044618055	0.236506908151351	280	115	2.92419648584423e-07	2.0051633045789e-06
db35c906865fb1665ab2ed219d1e567e	TimePoint	Week18	0.777078309601791	0.151515723969211	280	280	6.69608950278294e-07	4.01765370166976e-06
X5467dddfc6f0c07ff660f571f4d731ad	TimePoint	Week6	1.61255528077998	0.318184582108046	280	219	9.13748340129834e-07	4.87332448069245e-06
f27c18211f38a2b8824f2a0ffa75d352	BirthMode	CSR	1.37030340382431	0.347842737526828	280	224	0.000170433709583017	0.000818081805998481
X94e1ce4bbbed8aed7c95d0a0b492b4e9	TimePoint	Week9-14	-0.903438045480376	0.240218953584741	280	115	0.000207163564482355	0.000903986463195731
X264d967e6d61a657b841b0165db6464d	TimePoint	Week18	0.661118863533017	0.185264422231045	280	51	0.000438778997895998	0.00175511599158399
cd1032dccdcdadb3b177b8bfd184fe52	TimePoint	Week18	-0.291594841961978	0.0856894322364335	280	280	0.00079280155443026	0.00292726727789635
X438fb020cf251f2c2f4e89552e4a78ff	TimePoint	Week6	-1.33559591383896	0.424843867342645	280	252	0.00191805366175339	0.00613777171761085
X5467dddfc6f0c07ff660f571f4d731ad	TimePoint	Week9-14	1.02033506473002	0.32382175125768	280	219	0.00187584165412338	0.00613777171761085
cd1032dccdcdadb3b177b8bfd184fe52	TimePoint	Week6	0.227475458379275	0.0731367434271907	280	280	0.00214774949654935	0.00644324848964805
X438fb020cf251f2c2f4e89552e4a78ff	TimePoint	Week9-14	-1.31019329967608	0.432431969910691	280	252	0.00276280987375027	0.00780087493764781
X94e1ce4bbbed8aed7c95d0a0b492b4e9	TimePoint	Week18	-0.803410159039572	0.275678393431221	280	115	0.00386014969801646	0.0102937325280439
X264d967e6d61a657b841b0165db6464d	TimePoint	Week9-14	0.436897997661868	0.159978951412052	280	51	0.00684613892718418	0.0172955088686758
X2c796538ebe5bdf80383a492e53c2719	BirthMode	CSR	-0.524198007435153	0.238515907863674	280	144	0.0307773495052606	0.0738656388126253
db35c906865fb1665ab2ed219d1e567e	TimePoint	Week9-14	0.279026904946337	0.129999777419064	280	280	0.0330446740133617	0.0755306834591125
X438fb020cf251f2c2f4e89552e4a78ff	TimePoint	Week18	-1.06284213925481	0.503135525623205	280	252	0.0358153025125199	0.078001865899996
cd1032dccdcdadb3b177b8bfd184fe52	BirthMode	CSR	0.158833300071413	0.0748441300123445	280	280	0.0373758940770814	0.078001865899996
