feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
f27c18211f38a2b8824f2a0ffa75d352	TimePoint	Week9-14	4.71992955874564	0.336456695286142	280	186	5.12137399107166e-32	3.96394346908947e-29
f27c18211f38a2b8824f2a0ffa75d352	TimePoint	Week18	5.17859052449668	0.389167656925094	280	186	3.45010592616406e-30	1.33519099342549e-27
c4a7d3b208ece70a26268344fbb93c52	TimePoint	Week9-14	4.44893248600397	0.342951480146628	280	216	1.10111603165023e-28	2.8408793616576e-26
c4a7d3b208ece70a26268344fbb93c52	TimePoint	Week18	5.04042087964189	0.397892556297008	280	216	4.90179499776677e-28	9.4849733206787e-26
afaed5b814af8fdf712ee3a2f6e146ea	TimePoint	Week9-14	-3.36645577402224	0.271843855253009	280	144	1.32730080851947e-26	2.05466165158815e-24
afaed5b814af8fdf712ee3a2f6e146ea	TimePoint	Week18	-3.72050509780007	0.313859886000055	280	144	2.13586110490095e-25	2.75526082532222e-23
a48efa77549a0058f29816ef3038a36e	TimePoint	Week9-14	-2.64983903682873	0.2293141885385	280	127	2.94122361663956e-24	3.2521529703986e-22
X5a1b49ed2eeb1f595a07330646fa90d6	TimePoint	Week18	-3.65613365452652	0.335809997889985	280	270	2.66775039093368e-22	2.58104850322833e-20
X5a1b49ed2eeb1f595a07330646fa90d6	TimePoint	Week9-14	-3.15232664699126	0.288899663120822	280	270	3.37577938677914e-22	2.90317027263006e-20
a48efa77549a0058f29816ef3038a36e	TimePoint	Week18	-2.69469372178862	0.263834174876801	280	127	1.94383636262701e-20	1.5045293446733e-18
a48efa77549a0058f29816ef3038a36e	TimePoint	Week6	-2.25967833051996	0.225686711842257	280	127	1.61070472069978e-19	1.13335041256512e-17
db66ab43add889efc6f36d999d74bd9f	TimePoint	Week9-14	3.47134442333405	0.355824601218867	280	172	7.49972146933879e-19	4.83732034772352e-17
db66ab43add889efc6f36d999d74bd9f	TimePoint	Week6	3.39097332909428	0.349785636554758	280	172	1.2032704271658e-18	7.16408700481792e-17
f3b97a44d007c4a516573a5f19987ac2	TimePoint	Week9-14	-1.90356232024932	0.211189125033674	280	280	1.49502611725755e-16	8.26535867683815e-15
db66ab43add889efc6f36d999d74bd9f	TimePoint	Week18	3.53266308558773	0.412543182960465	280	172	1.70692917661789e-15	8.80775455134831e-14
f3b97a44d007c4a516573a5f19987ac2	TimePoint	Week6	-1.77502983019095	0.207543558101386	280	280	3.03213277946458e-15	1.46679423206599e-13
