feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X8479c5090e759d6b0f74da1bd0933311	BirthMode	CSR	-1.51330729797137	0.409808984245165	91	88	0.0003866193947135	0.0881492219946781
X46a9bce4deb54b24813583e0f9fb9cca	BirthMode	CS	1.5764441820885	0.454442791605845	91	84	0.000814836077400244	0.0928913128236279
X8f87b6d3b41b893651a55958f4c1391e	BirthMode	CS	0.547327529055	0.17981406434204	91	14	0.00308903120077266	0.234766371258722
f27c18211f38a2b8824f2a0ffa75d352	BirthMode	CSR	1.12169368458946	0.385516718829794	91	28	0.00459384049017994	0.261848907940257
X968a697c6d9d2af8d415a6516efde56c	BirthMode	CSR	-1.14612550342684	0.41170925972812	91	60	0.00658985318480083	0.270121584626227
X026322b3b8718764dae37e6324db719c	BirthMode	CSR	-0.895002982337637	0.324637149702976	91	44	0.00710846275332177	0.270121584626227
X4cdfe4ce24f411be533e6d6e39f80f99	BirthMode	CSR	-1.17289720100382	0.444487622691729	91	66	0.00985836839140497	0.321101141891476
c4a7d3b208ece70a26268344fbb93c52	BirthMode	CS	1.04468428780296	0.430171306447635	91	65	0.0172188057542871	0.392588771197745
c4a7d3b208ece70a26268344fbb93c52	BirthMode	CSR	1.09422597334323	0.439487179822342	91	65	0.0146839788666168	0.392588771197745
f773225220a5378c11e68e7e2d2febe2	BirthMode	CS	0.919331972191727	0.377692087054822	91	44	0.0169741234647958	0.392588771197745
db66ab43add889efc6f36d999d74bd9f	BirthMode	CSR	0.371011188795087	0.159254128088104	91	23	0.022139007206437	0.458881240278877
X94e1ce4bbbed8aed7c95d0a0b492b4e9	BirthMode	CS	-1.13611807560775	0.529636630922166	91	53	0.0347326744257726	0.580015819642567
X1da924f9f1a5eb197f18c98773c2f0c9	BirthMode	CS	-1.06282141662339	0.497926160614021	91	86	0.0356150064692804	0.580015819642567
X92f0b3cf53e4c5c532d9bfd4cee8e2f9	BirthMode	CS	-0.656379022702745	0.302512736254694	91	36	0.0327514616836057	0.580015819642567
X3ae2a2aa07a75cd4a126c14bb16e1a7f	BirthMode	CS	1.23316912979961	0.590848689608082	91	34	0.0398033680800107	0.605011194816163
X264d967e6d61a657b841b0165db6464d	BirthMode	CS	0.308782960349134	0.17527731886878	91	16	0.0816359388500188	0.664749787778725
X94e1ce4bbbed8aed7c95d0a0b492b4e9	BirthMode	CSR	-0.962517916159384	0.54110654468518	91	53	0.0787662495462903	0.664749787778725
c0a64c29b86aa9015d95d6ac55f9ddaa	Sex	M	0.759384138607281	0.40779276360994	91	84	0.0659531840992351	0.664749787778725
X4cdfe4ce24f411be533e6d6e39f80f99	BirthMode	CS	-0.794429439717603	0.435065754205612	91	66	0.0712809596849912	0.664749787778725
X2cabbe9e8a6f88d2831ac023efe4cc59	Sex	M	0.391074186481907	0.20465708580538	91	25	0.0593137600334185	0.664749787778725
X4080fc5501b77fa7027f0f557efe0fab	BirthMode	CS	-0.334715421258167	0.185857504064405	91	23	0.0751796899499324	0.664749787778725
X694dd510053de612f7339e2747acd98a	BirthMode	CS	-0.803878127386052	0.418999987855525	91	41	0.0583188580760496	0.664749787778725
b37311b5d8a8d0b509331ba12f1fe5eb	BirthMode	CSR	0.770723526857836	0.421138869046436	91	62	0.0706605218362023	0.664749787778725
X1da924f9f1a5eb197f18c98773c2f0c9	BirthMode	CSR	-0.949267572452841	0.508709346272171	91	86	0.0654064888927893	0.664749787778725
f7740fb251b4636f610015fdb43d2c80	BirthMode	CSR	-0.491041263756647	0.264772834026145	91	35	0.0670445110773419	0.664749787778725
ff6a1a59ac7ce80d358b3a2a60112c35	BirthMode	CS	-0.418710063529063	0.219910484039102	91	21	0.0602152730194943	0.664749787778725
f5e7b0432a0779c0c404e9453474c530	BirthMode	CSR	-1.04633602781239	0.583149989426078	91	90	0.076241662978657	0.664749787778725
cd1032dccdcdadb3b177b8bfd184fe52	BirthMode	CSR	0.554057596085703	0.292772147111185	91	91	0.0617561269116851	0.664749787778725
dd529174080cebdb024f3e4d9bdd445d	BirthMode	CS	-0.789350649694327	0.452922479601354	91	58	0.0849028992354802	0.667512449161706
f27c18211f38a2b8824f2a0ffa75d352	Sex	M	0.490599858331418	0.315869474441162	91	28	0.124012238154182	0.687494959478295
a1008f2cef2fbdb6e9e4d8e6baae6b6a	BirthMode	CS	-0.325501912489228	0.202372250066996	91	33	0.111363806667675	0.687494959478295
X428a6b3af0339c2456190db998ea95aa	BirthMode	CSR	-0.273343167972311	0.17481592230075	91	17	0.121540569541276	0.687494959478295
c6fda4b9a67c5c303ab4f2116a1197e6	BirthMode	CS	-0.430939642405923	0.277906030437411	91	45	0.124611836722934	0.687494959478295
c6fda4b9a67c5c303ab4f2116a1197e6	Sex	M	-0.377404571176721	0.232630783906537	91	45	0.108350582298388	0.687494959478295
f3b97a44d007c4a516573a5f19987ac2	Sex	M	-0.377576637610331	0.244449149871297	91	91	0.126072455761292	0.687494959478295
X411b1a6f2df76cafb02680de95e8ccbf	BirthMode	CSR	-0.809030531445334	0.478828457462667	91	88	0.0946844066807032	0.687494959478295
X2cabbe9e8a6f88d2831ac023efe4cc59	BirthMode	CSR	-0.410460182679534	0.249782693767879	91	25	0.103936717053755	0.687494959478295
X4080fc5501b77fa7027f0f557efe0fab	BirthMode	CSR	-0.292942365412842	0.189882470275892	91	23	0.126519656171421	0.687494959478295
X854c977227dcad9f6e0f0af6255ec349	Sex	M	0.404214818344181	0.254635227822616	91	43	0.116043955121354	0.687494959478295
X8a88f51fbbd1cf4036edce693eabc86a	Sex	M	0.573532675268217	0.360848056144864	91	60	0.115597253719541	0.687494959478295
X026322b3b8718764dae37e6324db719c	BirthMode	CS	-0.521978044719562	0.317755769043406	91	44	0.104054326431978	0.687494959478295
ff6a1a59ac7ce80d358b3a2a60112c35	BirthMode	CSR	-0.346500611180719	0.224672908199832	91	21	0.126643808324949	0.687494959478295
d0b02d08734bda73b7c53f4164fedc19	BirthMode	CS	-0.473319810835572	0.312069359944285	91	26	0.13296433956173	0.705020219071497
f773225220a5378c11e68e7e2d2febe2	BirthMode	CSR	0.57565127629304	0.385871460260087	91	44	0.139363300368753	0.715099827763712
X904398d6601dd776a7c9a42ac7cf4cd8	BirthMode	CSR	-0.258484952114866	0.174295018479794	91	12	0.14167972506966	0.715099827763712
db7289690f70cc3fe5dd7f6a68dec65b	Sex	M	0.616763557089886	0.418622408626673	91	89	0.144274526654082	0.715099827763712
X8a88f51fbbd1cf4036edce693eabc86a	BirthMode	CSR	-0.64253142093258	0.440412796605929	91	60	0.148185478678661	0.718857215717759
X8479c5090e759d6b0f74da1bd0933311	BirthMode	CS	-0.572096170080471	0.401122203878583	91	88	0.157377947259633	0.747545249483259
X438fb020cf251f2c2f4e89552e4a78ff	BirthMode	CSR	-1.16323225217702	0.974296444538095	91	77	0.235754426223193	0.766837261458439
X438fb020cf251f2c2f4e89552e4a78ff	Sex	M	-0.971146086515893	0.798280569569832	91	77	0.227066663894945	0.766837261458439
X264d967e6d61a657b841b0165db6464d	BirthMode	CSR	0.242321196439301	0.179073158534433	91	16	0.179498611877369	0.766837261458439
X264d967e6d61a657b841b0165db6464d	Sex	M	0.186264083162252	0.146721897417277	91	16	0.207646668420632	0.766837261458439
d8f099d313df42c4bd55367dfcba5b1e	BirthMode	CSR	-0.347865804715964	0.252542817200894	91	15	0.171905697976842	0.766837261458439
afaed5b814af8fdf712ee3a2f6e146ea	BirthMode	CSR	0.773694895703319	0.632079932174891	91	76	0.224239391212781	0.766837261458439
afaed5b814af8fdf712ee3a2f6e146ea	Sex	M	0.637852022529139	0.517888709436324	91	76	0.221402645394156	0.766837261458439
X40d3ced278c1560950b676bcd978b0c7	Sex	M	0.446190246473561	0.368103599845288	91	83	0.228743355156219	0.766837261458439
X3ae2a2aa07a75cd4a126c14bb16e1a7f	BirthMode	CSR	0.797239651701168	0.603644223604654	91	34	0.190061322861125	0.766837261458439
a009250174a6396c22cbd6d4883ace66	BirthMode	CS	-0.375804027617674	0.308577742489425	91	90	0.226570441688723	0.766837261458439
fc4f1910689e1f8d5f98a11f522acb7b	Sex	M	0.221189814720848	0.186478488553277	91	29	0.238795813875216	0.766837261458439
X6db1ecacf0a9069bdc3769d566e6bc14	BirthMode	CS	-0.321524440645072	0.270845124990046	91	35	0.238413355836095	0.766837261458439
X6db1ecacf0a9069bdc3769d566e6bc14	Sex	M	0.285314674522803	0.226720210585314	91	35	0.211597951661549	0.766837261458439
X411b1a6f2df76cafb02680de95e8ccbf	Sex	M	0.52952118100186	0.39232356424205	91	88	0.180612087584875	0.766837261458439
X66d3bf1e99e38f8dec7af0f72e64f335	BirthMode	CSR	0.354637461580497	0.294942958163232	91	24	0.232473512296914	0.766837261458439
c9bb97dc7d8c263ffdf90f4a4f4de4dc	Sex	M	0.136187360729708	0.0988930316616677	91	10	0.172008844236969	0.766837261458439
X2c3a4f56eede5122206b44f27ceb8b57	BirthMode	CSR	-0.629942373975953	0.479484286838916	91	64	0.192370269254434	0.766837261458439
