feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
a48efa77549a0058f29816ef3038a36e	BirthMode	CSR	-1.33909464452349	0.398490112337712	74	28	0.00126325615261087	0.0378976845783261
f27c18211f38a2b8824f2a0ffa75d352	Sex	M	1.57900729191724	0.580208448524288	74	58	0.00819478706824381	0.122921806023657
f27c18211f38a2b8824f2a0ffa75d352	BirthMode	CSR	1.60750727341866	0.700486252841208	74	58	0.0247441902698727	0.247441902698727
X264d967e6d61a657b841b0165db6464d	BirthMode	CSR	0.532792624499645	0.332553221175014	74	16	0.113630844531205	0.852231333984037
X438fb020cf251f2c2f4e89552e4a78ff	BirthMode	CS	0.548524372896498	0.80821084025371	74	67	0.499572225871179	0.98245784691688
X438fb020cf251f2c2f4e89552e4a78ff	BirthMode	CSR	-0.788435312985767	0.808210840253709	74	67	0.332655849799998	0.98245784691688
X438fb020cf251f2c2f4e89552e4a78ff	Sex	M	0.378555721489418	0.669436060739392	74	67	0.573552392834187	0.98245784691688
f27c18211f38a2b8824f2a0ffa75d352	BirthMode	CS	0.03431056144665	0.700486252841208	74	58	0.961073875765738	0.98245784691688
a1008f2cef2fbdb6e9e4d8e6baae6b6a	BirthMode	CS	-0.440613827811336	0.332672189034746	74	50	0.189655590397113	0.98245784691688
a1008f2cef2fbdb6e9e4d8e6baae6b6a	BirthMode	CSR	0.0474300628325827	0.332672189034746	74	50	0.887037029044259	0.98245784691688
a1008f2cef2fbdb6e9e4d8e6baae6b6a	Sex	M	0.17435705707655	0.275550325055107	74	50	0.528952448512818	0.98245784691688
a48efa77549a0058f29816ef3038a36e	BirthMode	CS	-0.197865317013796	0.398490112337712	74	28	0.621070918965381	0.98245784691688
a48efa77549a0058f29816ef3038a36e	Sex	M	-0.0750739886475708	0.33006690551591	74	28	0.820736219232667	0.98245784691688
X264d967e6d61a657b841b0165db6464d	BirthMode	CS	0.202081618113017	0.332553221175014	74	16	0.545374754242496	0.98245784691688
X264d967e6d61a657b841b0165db6464d	Sex	M	-0.176706460830025	0.275451784709683	74	16	0.523283200795991	0.98245784691688
X5467dddfc6f0c07ff660f571f4d731ad	BirthMode	CS	-0.014757527226492	0.668781132259415	74	65	0.98245784691688	0.98245784691688
X5467dddfc6f0c07ff660f571f4d731ad	BirthMode	CSR	0.0506864247747485	0.668781132259414	74	65	0.939802954231477	0.98245784691688
X5467dddfc6f0c07ff660f571f4d731ad	Sex	M	0.510976111614934	0.553947292436749	74	65	0.359474244135542	0.98245784691688
X94e1ce4bbbed8aed7c95d0a0b492b4e9	BirthMode	CS	0.0889305574982109	0.317820572242033	74	29	0.780445606180704	0.98245784691688
X94e1ce4bbbed8aed7c95d0a0b492b4e9	BirthMode	CSR	0.0623194317941429	0.317820572242033	74	29	0.845112789563373	0.98245784691688
X94e1ce4bbbed8aed7c95d0a0b492b4e9	Sex	M	-0.193794790978663	0.263248822345488	74	29	0.464089650306038	0.98245784691688
db35c906865fb1665ab2ed219d1e567e	BirthMode	CS	-0.0889326597064136	0.429996703197881	74	74	0.836749524808418	0.98245784691688
db35c906865fb1665ab2ed219d1e567e	BirthMode	CSR	0.187421510994727	0.429996703197881	74	74	0.664274219885929	0.98245784691688
db35c906865fb1665ab2ed219d1e567e	Sex	M	0.0162439578179491	0.356163620657887	74	74	0.963752449205277	0.98245784691688
f5e7b0432a0779c0c404e9453474c530	BirthMode	CS	-0.154466204563317	0.422869828620554	74	74	0.716003273077166	0.98245784691688
f5e7b0432a0779c0c404e9453474c530	BirthMode	CSR	-0.378352095119712	0.422869828620553	74	74	0.374000469237987	0.98245784691688
f5e7b0432a0779c0c404e9453474c530	Sex	M	-0.308871677528662	0.350260474344072	74	74	0.380884530945837	0.98245784691688
cd1032dccdcdadb3b177b8bfd184fe52	BirthMode	CS	-0.0271500305284841	0.0802502352109951	74	74	0.736136840095155	0.98245784691688
cd1032dccdcdadb3b177b8bfd184fe52	BirthMode	CSR	0.0225921442336912	0.0802502352109951	74	74	0.779141211097372	0.98245784691688
cd1032dccdcdadb3b177b8bfd184fe52	Sex	M	0.0812799624331543	0.066470775517183	74	74	0.22550907403532	0.98245784691688
