feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X46a9bce4deb54b24813583e0f9fb9cca	Sex	M	1.69952989832894	0.418651504247012	70	39	0.000132747615448776	0.0143367424684678
f27c18211f38a2b8824f2a0ffa75d352	BirthMode	CSR	2.60957613506303	0.731155379085871	70	63	0.000673508693337959	0.0363694694402498
cd1032dccdcdadb3b177b8bfd184fe52	BirthMode	CS	0.793134353092878	0.240406351037398	70	70	0.0015656899658838	0.0563648387718168
f3b97a44d007c4a516573a5f19987ac2	BirthMode	CSR	-1.56298417874726	0.490724774537695	70	70	0.00221018232831888	0.0596749228646097
X031576b29e776dff6924cd6319f5840f	BirthMode	CSR	-0.821614079758718	0.283944704838453	70	20	0.00515624627877398	0.111374919621518
cd1032dccdcdadb3b177b8bfd184fe52	BirthMode	CSR	0.691702695271331	0.247040150548311	70	70	0.00669641126183569	0.120535402713042
a1008f2cef2fbdb6e9e4d8e6baae6b6a	Sex	M	-0.86977384384563	0.337052757249934	70	51	0.0120962764204728	0.186628264773009
d8f099d313df42c4bd55367dfcba5b1e	BirthMode	CSR	-1.90257493301174	0.847249301710567	70	51	0.0280845239413229	0.303312858566287
X031576b29e776dff6924cd6319f5840f	BirthMode	CS	-0.62684744928711	0.276319902797559	70	20	0.0265721250779296	0.303312858566287
cd1032dccdcdadb3b177b8bfd184fe52	Sex	M	0.459587390514649	0.201827609532337	70	70	0.026026388078053	0.303312858566287
a48efa77549a0058f29816ef3038a36e	BirthMode	CS	-0.591304989073451	0.273257227595368	70	24	0.0340950559882205	0.306855503893985
de17fa4e217c05126bad3d8e4a5ed1ae	BirthMode	CSR	-1.34806803143098	0.615042929477529	70	55	0.0319250153243756	0.306855503893985
f3b97a44d007c4a516573a5f19987ac2	Sex	M	-0.849957664824642	0.400913810825538	70	70	0.0377655454361894	0.313744531316035
X438fb020cf251f2c2f4e89552e4a78ff	BirthMode	CSR	-1.65878953544226	0.823029201571738	70	64	0.0479308077631177	0.363173333012609
a48efa77549a0058f29816ef3038a36e	BirthMode	CSR	-0.559524079766414	0.280797517837091	70	24	0.0504407406961957	0.363173333012609
c4a7d3b208ece70a26268344fbb93c52	Sex	M	-0.851525899682096	0.446694202742356	70	68	0.0609689985959232	0.411540740522482
d8f099d313df42c4bd55367dfcba5b1e	Sex	M	1.22478220980976	0.692188297580985	70	51	0.0814408195964303	0.418838500781642
X40d3ced278c1560950b676bcd978b0c7	Sex	M	-0.74380844541534	0.405657068235837	70	54	0.0712244282814384	0.418838500781642
c4a7d3b208ece70a26268344fbb93c52	BirthMode	CSR	0.977917599044155	0.546760690225827	70	68	0.0782741106075995	0.418838500781642
a009250174a6396c22cbd6d4883ace66	BirthMode	CSR	-1.06234655947867	0.58168558158862	70	69	0.0723245863241467	0.418838500781642
f5e7b0432a0779c0c404e9453474c530	BirthMode	CSR	-0.922712534181378	0.511639735056842	70	70	0.0758831858892813	0.418838500781642
X854c977227dcad9f6e0f0af6255ec349	Sex	M	-0.466204417965739	0.269029351431175	70	29	0.0877815472836443	0.430927595756072
X428a6b3af0339c2456190db998ea95aa	BirthMode	CSR	-0.546702803986093	0.349661956967054	70	33	0.122713341155672	0.530331108878797
X5a1b49ed2eeb1f595a07330646fa90d6	Sex	M	-0.795394297719518	0.515568286463524	70	66	0.12767230398934	0.530331108878797
X8f20e8d05e62fad83c0accad82df42af	Sex	M	0.6428034067442	0.401335737717363	70	67	0.114006714652847	0.530331108878797
d0b02d08734bda73b7c53f4164fedc19	BirthMode	CSR	-0.41538690895595	0.26597128983215	70	16	0.123123960045062	0.530331108878797
X438fb020cf251f2c2f4e89552e4a78ff	Sex	M	0.953659460966388	0.67240088689975	70	64	0.160810808778109	0.560244108001153
X40d3ced278c1560950b676bcd978b0c7	BirthMode	CS	-0.693160085728236	0.483197198703783	70	54	0.156143085493646	0.560244108001153
db35c906865fb1665ab2ed219d1e567e	Sex	M	-0.471128265902639	0.318692924642496	70	70	0.144080492632417	0.560244108001153
fc4f1910689e1f8d5f98a11f522acb7b	Sex	M	-0.360156778986125	0.248435588041619	70	28	0.151877965512457	0.560244108001153
X8479c5090e759d6b0f74da1bd0933311	Sex	M	0.680629811783122	0.468361029489091	70	67	0.150902157464367	0.560244108001153
fc4f1910689e1f8d5f98a11f522acb7b	BirthMode	CS	-0.403890602916525	0.29592330468219	70	28	0.176935547928038	0.597157474257128
X264d967e6d61a657b841b0165db6464d	Sex	M	-0.470352670733022	0.352588995895856	70	19	0.186789837805936	0.600071521642429
a009250174a6396c22cbd6d4883ace66	Sex	M	-0.630872143749084	0.475227246141512	70	69	0.188911404961506	0.600071521642429
c6fda4b9a67c5c303ab4f2116a1197e6	BirthMode	CS	-0.392903175322651	0.323473554499593	70	39	0.228832182825517	0.617846893628897
c0a64c29b86aa9015d95d6ac55f9ddaa	BirthMode	CSR	-0.676816181026477	0.553399404400261	70	61	0.225672811560473	0.617846893628897
db35c906865fb1665ab2ed219d1e567e	BirthMode	CSR	0.481457521933522	0.390085123956985	70	70	0.22149129417201	0.617846893628897
X5a1b49ed2eeb1f595a07330646fa90d6	BirthMode	CSR	-0.780785482644901	0.631063645856029	70	66	0.220377127705646	0.617846893628897
X854c977227dcad9f6e0f0af6255ec349	BirthMode	CSR	0.411563080876625	0.329296133633408	70	29	0.215776655592627	0.617846893628897
f5e7b0432a0779c0c404e9453474c530	BirthMode	CS	-0.617854006815771	0.497900610397751	70	70	0.219028706808246	0.617846893628897
c3342d2a9a35fb23f494d299efedfcb9	BirthMode	CSR	-0.481920767432395	0.404267826736709	70	18	0.237497405009453	0.625602920512707
X968a697c6d9d2af8d415a6516efde56c	BirthMode	CSR	-0.553539103974731	0.486040917641926	70	44	0.258872823430305	0.660404178773278
X306e31ae31e2479962fd9f5e95660548	BirthMode	CS	0.420375229161375	0.386967054697163	70	22	0.281283261329359	0.660404178773278
X306e31ae31e2479962fd9f5e95660548	BirthMode	CSR	-0.437327979431395	0.397645066518032	70	22	0.275416934251922	0.660404178773278
X031576b29e776dff6924cd6319f5840f	Sex	M	-0.25236633552486	0.231978003938688	70	20	0.280600910033476	0.660404178773278
f3b97a44d007c4a516573a5f19987ac2	BirthMode	CS	-0.528493369564164	0.477547281882774	70	70	0.272448478806907	0.660404178773278
de17fa4e217c05126bad3d8e4a5ed1ae	Sex	M	-0.533671217015879	0.502479633131296	70	55	0.292072361119324	0.666198159370246
fc4f1910689e1f8d5f98a11f522acb7b	BirthMode	CSR	0.320267835207973	0.304089045168651	70	28	0.29608807083122	0.666198159370246
X7c60bd2ffe3eed870549edc57875acf8	Sex	M	0.592808166296091	0.577784003674433	70	53	0.308635894509453	0.672245089877596
X3ae2a2aa07a75cd4a126c14bb16e1a7f	BirthMode	CS	0.441714199400501	0.439367433635284	70	31	0.318404272542776	0.672245089877596
a009250174a6396c22cbd6d4883ace66	BirthMode	CS	-0.555630875171316	0.566065507207662	70	69	0.329898053365858	0.672245089877596
X46a9bce4deb54b24813583e0f9fb9cca	BirthMode	CSR	-0.50598716694026	0.512435988694045	70	39	0.327045225899119	0.672245089877596
d0b02d08734bda73b7c53f4164fedc19	Sex	M	0.215916650149023	0.21729402897428	70	16	0.324016963160812	0.672245089877596
a1008f2cef2fbdb6e9e4d8e6baae6b6a	BirthMode	CSR	0.383457315465164	0.412557846206894	70	51	0.356036218088258	0.712072436176516
c6fda4b9a67c5c303ab4f2116a1197e6	Sex	M	0.248512940899262	0.271564765114816	70	39	0.36346275406252	0.713708680704584
