feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X9179082205356f48318aba87639426b1	Sex	M	1.71770620886336	0.376952886939254	70	39	2.30294325952411e-05	0.00497435744057207
db66ab43add889efc6f36d999d74bd9f	BirthMode	CSR	2.67033682416079	0.763538647126373	70	55	0.000846018748804803	0.0609133499139458
f3b97a44d007c4a516573a5f19987ac2	BirthMode	CSR	-1.56223184160722	0.442405767914197	70	70	0.000759899669143488	0.0609133499139458
f27c18211f38a2b8824f2a0ffa75d352	BirthMode	CSR	2.43819061396527	0.717249625303422	70	63	0.00114985385697301	0.0620921082765423
X031576b29e776dff6924cd6319f5840f	BirthMode	CSR	-0.814850310912277	0.267304823586042	70	20	0.00330818615460394	0.122264609619937
c4a7d3b208ece70a26268344fbb93c52	Sex	M	-1.76395779747778	0.580370520102711	70	64	0.00339623915610937	0.122264609619937
X43577e578520b2867697731105874b5d	Sex	M	1.0104000740393	0.359201958619779	70	41	0.00646082183460713	0.176349312041576
cd1032dccdcdadb3b177b8bfd184fe52	BirthMode	CS	0.936052000599147	0.333235871782321	70	70	0.00653145600153983	0.176349312041576
X1188c1b5a5140c35de894313d9ccf8d9	BirthMode	CS	-0.928969361386125	0.341629110063005	70	20	0.00835312778566612	0.200475066855987
d0b02d08734bda73b7c53f4164fedc19	Sex	M	0.478044501646045	0.179955839739647	70	15	0.00989206145606168	0.213668527450932
X411b1a6f2df76cafb02680de95e8ccbf	Sex	M	1.18837446477707	0.467734339234238	70	56	0.0134224074781677	0.263567274116748
a48efa77549a0058f29816ef3038a36e	BirthMode	CS	-0.599757132085742	0.253973208379284	70	18	0.0211617054259904	0.297382611448655
a48efa77549a0058f29816ef3038a36e	BirthMode	CSR	-0.610922750361451	0.260981373256215	70	18	0.0222698458629678	0.297382611448655
X428a6b3af0339c2456190db998ea95aa	BirthMode	CSR	-0.479017532782786	0.208514578749572	70	25	0.0247818842873879	0.297382611448655
f3b97a44d007c4a516573a5f19987ac2	Sex	M	-0.831678204438486	0.361438002621274	70	70	0.0245568433863556	0.297382611448655
X4080fc5501b77fa7027f0f557efe0fab	BirthMode	CSR	-0.809085216879298	0.347896862433021	70	31	0.0231201824900606	0.297382611448655
X9567835ff4f28ad499d002f97314e118	BirthMode	CS	-0.865259491053497	0.352932398257654	70	26	0.0168755762941646	0.297382611448655
cd1032dccdcdadb3b177b8bfd184fe52	BirthMode	CSR	0.826497862620883	0.342431219383202	70	70	0.0185779929706841	0.297382611448655
d8f099d313df42c4bd55367dfcba5b1e	BirthMode	CSR	-1.87775783108997	0.864492235580455	70	39	0.0334461684551308	0.328380563014011
db66ab43add889efc6f36d999d74bd9f	Sex	M	1.37943966601335	0.623798113760193	70	55	0.03047978335575	0.328380563014011
de17fa4e217c05126bad3d8e4a5ed1ae	BirthMode	CSR	-1.3260975122068	0.608769672491583	70	50	0.032959193512852	0.328380563014011
X7196309e808ea0a0343569ba13b6475a	Sex	M	0.822635283556313	0.375847315122496	70	31	0.0321582790840484	0.328380563014011
d5b22a367668019c66d346e758f7a1ee	BirthMode	CSR	-1.06941003032797	0.508689843886916	70	48	0.0393475394309996	0.369524718134605
X438fb020cf251f2c2f4e89552e4a78ff	BirthMode	CSR	-1.68066568019418	0.816085972614097	70	62	0.0434024298960899	0.38705419385811
cd1032dccdcdadb3b177b8bfd184fe52	Sex	M	0.572242146558782	0.279760493522851	70	70	0.0447979391039479	0.38705419385811
X3b3279e106d3a861d1121ac94b3ff08e	BirthMode	CSR	-0.362196665496873	0.179571469513917	70	17	0.0477658546367799	0.396824023136325
X2cabbe9e8a6f88d2831ac023efe4cc59	BirthMode	CS	-0.287911448110868	0.144983761454506	70	9	0.0512100052860392	0.409680042288314
X854c977227dcad9f6e0f0af6255ec349	Sex	M	-0.509444095340007	0.259941663523846	70	32	0.0542392355349244	0.418416959840846
a009250174a6396c22cbd6d4883ace66	Sex	M	-0.905608644312365	0.469852912268964	70	66	0.0582316394258535	0.419267803866145
X7d64677a29ebe5c57f9e95558cea9241	BirthMode	CSR	-0.888915837686753	0.45919265769384	70	31	0.0571744771275768	0.419267803866145
X1188c1b5a5140c35de894313d9ccf8d9	BirthMode	CSR	-0.670347432782828	0.35105606161179	70	20	0.0605435585929449	0.421851892131487
d8f099d313df42c4bd55367dfcba5b1e	Sex	M	1.30706012767882	0.706275481856738	70	39	0.0686976797657537	0.463709338418837
X9179082205356f48318aba87639426b1	BirthMode	CSR	-0.845954244882471	0.461396228964271	70	39	0.0712429946242877	0.466317782995338
X428a6b3af0339c2456190db998ea95aa	Sex	M	-0.301303590495728	0.170352871337967	70	25	0.081564113961957	0.477421492753377
X592ffedf7f7221039afc844b2f4fdc66	BirthMode	CS	-0.697974008545708	0.392809721468665	70	33	0.0801967820982011	0.477421492753377
X8a88f51fbbd1cf4036edce693eabc86a	BirthMode	CS	-0.784595854225802	0.437109685519399	70	36	0.0772383254132765	0.477421492753377
d0b02d08734bda73b7c53f4164fedc19	BirthMode	CS	0.378853209356098	0.214353858126372	70	15	0.0817805334809025	0.477421492753377
X40d3ced278c1560950b676bcd978b0c7	Sex	M	-0.6405054809098	0.366092498729736	70	54	0.0848403367485343	0.482250335202195
e7cdeeaa44dc2bdd46569cf6c57dace6	BirthMode	CSR	-0.411437445597278	0.237002991457952	70	10	0.0872300761690032	0.483120421859094
X031576b29e776dff6924cd6319f5840f	BirthMode	CS	-0.441241543781479	0.260126854320585	70	20	0.0945498746661441	0.510569323197178
fc4f1910689e1f8d5f98a11f522acb7b	BirthMode	CS	-0.464973649113612	0.280661242475938	70	30	0.102325483158298	0.51858793586491
X3b3279e106d3a861d1121ac94b3ff08e	BirthMode	CS	-0.286693820343924	0.174749414783172	70	17	0.105638283231741	0.51858793586491
X026322b3b8718764dae37e6324db719c	Sex	M	0.289639153497628	0.176176518028045	70	13	0.104925972003479	0.51858793586491
X904398d6601dd776a7c9a42ac7cf4cd8	BirthMode	CS	-0.451788732903612	0.272681681288153	70	13	0.102299515162662	0.51858793586491
a009250174a6396c22cbd6d4883ace66	BirthMode	CSR	-0.930890905681555	0.575107312876784	70	66	0.110294419244936	0.520483299789453
fc4f1910689e1f8d5f98a11f522acb7b	Sex	M	-0.378190736871316	0.235622675577662	70	30	0.113253310602335	0.520483299789453
X411b1a6f2df76cafb02680de95e8ccbf	BirthMode	CSR	-0.920066437797035	0.572514146348879	70	56	0.112814560643331	0.520483299789453
b37311b5d8a8d0b509331ba12f1fe5eb	BirthMode	CS	0.444778864710964	0.279858933951493	70	32	0.116772717667498	0.525477229503742
db66ab43add889efc6f36d999d74bd9f	BirthMode	CS	1.15872448836585	0.743035250036354	70	55	0.123673107052436	0.533306081808768
X547c05cd6cde04a51dba35d18340f60e	BirthMode	CS	-0.826124277666061	0.526610123118027	70	57	0.121486455519611	0.533306081808768
dd529174080cebdb024f3e4d9bdd445d	Sex	M	0.517786153719114	0.33405175408185	70	28	0.125919491538181	0.533306081808768
X5c9de3df536326207732a7f75cfdb999	BirthMode	CSR	0.665530066437194	0.438635551657622	70	48	0.133973248962368	0.556504264920604
X694dd510053de612f7339e2747acd98a	BirthMode	CSR	-0.32487285128496	0.217310518819006	70	10	0.139688369409083	0.5692959960823
a1008f2cef2fbdb6e9e4d8e6baae6b6a	Sex	M	-0.475190759481094	0.346445541768173	70	47	0.174827581664	0.569307733672308
X7c60bd2ffe3eed870549edc57875acf8	Sex	M	0.70419537012002	0.525305296958081	70	53	0.184664442319408	0.569307733672308
X428a6b3af0339c2456190db998ea95aa	BirthMode	CS	-0.27442920537367	0.202915311150937	70	25	0.180852819244027	0.569307733672308
X82d35bf6c80d4316579bdbd8f8384ec8	Sex	M	0.243986823434852	0.181777112797548	70	17	0.184120239874635	0.569307733672308
X40d3ced278c1560950b676bcd978b0c7	BirthMode	CS	-0.595712072941156	0.436069980542864	70	54	0.176546705296676	0.569307733672308
c0a64c29b86aa9015d95d6ac55f9ddaa	BirthMode	CSR	-0.776422772862302	0.585766039584484	70	59	0.189581064566608	0.569307733672308
X4cdfe4ce24f411be533e6d6e39f80f99	BirthMode	CS	-0.732610264838482	0.522287978428453	70	45	0.165394684513648	0.569307733672308
X0ee9b88a9a8ea5c8b3b0cd26f956ec70	BirthMode	CS	0.267512287368033	0.186091065146001	70	8	0.155290675699578	0.569307733672308
X0ee9b88a9a8ea5c8b3b0cd26f956ec70	BirthMode	CSR	0.259969455404177	0.191226082634614	70	8	0.17861900944841	0.569307733672308
db35c906865fb1665ab2ed219d1e567e	BirthMode	CSR	0.56971719650023	0.409830329315208	70	70	0.169160261578995	0.569307733672308
db35c906865fb1665ab2ed219d1e567e	Sex	M	-0.466743639742241	0.334824422248574	70	70	0.167994759912186	0.569307733672308
X3ae2a2aa07a75cd4a126c14bb16e1a7f	BirthMode	CS	0.48688073274167	0.367481527739062	70	30	0.189769244557436	0.569307733672308
X5a1b49ed2eeb1f595a07330646fa90d6	Sex	M	-0.673828393813456	0.49289612561832	70	65	0.176238607863172	0.569307733672308
X411b1a6f2df76cafb02680de95e8ccbf	BirthMode	CS	-0.761924157120521	0.557140353645101	70	56	0.17608818387173	0.569307733672308
X3b3279e106d3a861d1121ac94b3ff08e	Sex	M	0.21508914656114	0.146706842396921	70	17	0.147365343343214	0.569307733672308
X43577e578520b2867697731105874b5d	BirthMode	CS	0.599670253869466	0.427862334382114	70	41	0.165735012528055	0.569307733672308
X547c05cd6cde04a51dba35d18340f60e	BirthMode	CSR	-0.775382016330157	0.541141461254925	70	57	0.156616671809595	0.569307733672308
X30e56f85621ef5f9b9eb7f743a2e6516	BirthMode	CSR	0.461399623769432	0.341909013187883	70	25	0.1817935881596	0.569307733672308
dd529174080cebdb024f3e4d9bdd445d	BirthMode	CS	-0.5529412100859	0.397904743768928	70	28	0.169310643265073	0.569307733672308
de17fa4e217c05126bad3d8e4a5ed1ae	Sex	M	-0.638230420934569	0.497354488661277	70	50	0.203892019065931	0.588172573823913
X3f6c62a018f99ca18306bf8ba48abb2b	Sex	M	0.693629129532521	0.547536460295535	70	62	0.209672630483524	0.588172573823913
f54c94ed6901807823dcb725d30dc91f	Sex	M	0.459726835210249	0.361098342536668	70	33	0.207436380687503	0.588172573823913
X30e56f85621ef5f9b9eb7f743a2e6516	Sex	M	0.357536977966009	0.27933385992564	70	25	0.205038958872472	0.588172573823913
f5e7b0432a0779c0c404e9453474c530	Sex	M	0.665724218653438	0.523909322233174	70	69	0.20830120414722	0.588172573823913
X7d64677a29ebe5c57f9e95558cea9241	Sex	M	-0.47118025491783	0.375152606616569	70	31	0.21355493762255	0.591382904185523
X92f0b3cf53e4c5c532d9bfd4cee8e2f9	BirthMode	CS	-0.52005094359873	0.416708373853477	70	17	0.216441539218264	0.591789524951203
