feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
f27c18211f38a2b8824f2a0ffa75d352	BirthMode	CSR	2.60962006916248	0.731153820389925	70	63	0.000673363059210037	0.0464620510854925
a1008f2cef2fbdb6e9e4d8e6baae6b6a	Sex	M	-0.869784692007562	0.337050376507428	70	51	0.0120946757055074	0.291466943845489
cd1032dccdcdadb3b177b8bfd184fe52	BirthMode	CS	0.357833869841154	0.145986788512599	70	70	0.0168966344258254	0.291466943845489
cd1032dccdcdadb3b177b8bfd184fe52	Sex	M	0.306334958024831	0.122559842623364	70	70	0.0149325857114653	0.291466943845489
X438fb020cf251f2c2f4e89552e4a78ff	BirthMode	CSR	-1.65871206403476	0.823017254526547	70	64	0.047937780882127	0.386812446342966
a48efa77549a0058f29816ef3038a36e	BirthMode	CS	-0.591253699688041	0.273248121851523	70	24	0.0341043039005125	0.386812446342966
a48efa77549a0058f29816ef3038a36e	BirthMode	CSR	-0.559472790381004	0.280788160828341	70	24	0.0504537973490826	0.386812446342966
d8f099d313df42c4bd55367dfcba5b1e	BirthMode	CSR	-1.90250737088875	0.847244975760414	70	51	0.0280891310578754	0.386812446342966
c4a7d3b208ece70a26268344fbb93c52	Sex	M	-0.88338275711196	0.43989047501501	70	68	0.0487188454131318	0.386812446342966
d8f099d313df42c4bd55367dfcba5b1e	Sex	M	1.22474472891478	0.692184763353142	70	51	0.0814484110878731	0.415509465466737
X40d3ced278c1560950b676bcd978b0c7	Sex	M	-0.743818307350753	0.405655909840407	70	54	0.071219982621846	0.415509465466737
c4a7d3b208ece70a26268344fbb93c52	BirthMode	CSR	0.925488544165605	0.538432821080729	70	68	0.090328144666682	0.415509465466737
X8f20e8d05e62fad83c0accad82df42af	Sex	M	0.693707181024344	0.399795481680048	70	67	0.0873808516060884	0.415509465466737
X854c977227dcad9f6e0f0af6255ec349	Sex	M	-0.466242885087243	0.269021701518905	70	29	0.0877471301225057	0.415509465466737
f5e7b0432a0779c0c404e9453474c530	BirthMode	CSR	-0.922635062773875	0.511639678980498	70	70	0.0759071806713654	0.415509465466737
X428a6b3af0339c2456190db998ea95aa	BirthMode	CSR	-0.546668779171153	0.349658841326417	70	33	0.122732939962417	0.499933920901556
d0b02d08734bda73b7c53f4164fedc19	BirthMode	CSR	-0.415318853719698	0.265962512213151	70	16	0.123172125439514	0.499933920901556
X438fb020cf251f2c2f4e89552e4a78ff	Sex	M	0.95361014568295	0.672391126366627	70	64	0.160826147106366	0.528428769063773
X40d3ced278c1560950b676bcd978b0c7	BirthMode	CS	-0.69309153721383	0.483195818884546	70	54	0.156182240172613	0.528428769063773
db35c906865fb1665ab2ed219d1e567e	Sex	M	-0.469357894021564	0.318350277905149	70	70	0.145143138510538	0.528428769063773
X8479c5090e759d6b0f74da1bd0933311	Sex	M	0.680606142676428	0.46835758008749	70	67	0.150913181032574	0.528428769063773
cd1032dccdcdadb3b177b8bfd184fe52	BirthMode	CSR	0.207251662865928	0.150015164144339	70	70	0.171772673844439	0.53874156796665
X264d967e6d61a657b841b0165db6464d	Sex	M	-0.470378316909766	0.352583026718561	70	19	0.186758765109753	0.56027629532926
c0a64c29b86aa9015d95d6ac55f9ddaa	BirthMode	CSR	-0.676772246927025	0.553392752277926	70	61	0.22569708328401	0.576781435059136
db35c906865fb1665ab2ed219d1e567e	BirthMode	CSR	0.479109068249953	0.389665718991652	70	70	0.223235146646977	0.576781435059136
X854c977227dcad9f6e0f0af6255ec349	BirthMode	CSR	0.411613384035516	0.329286770021149	70	29	0.215708299376845	0.576781435059136
f5e7b0432a0779c0c404e9453474c530	BirthMode	CS	-0.617774335232406	0.497900555827233	70	70	0.219087399227248	0.576781435059136
X968a697c6d9d2af8d415a6516efde56c	BirthMode	CSR	-0.55347154185174	0.486039747859649	70	44	0.258929261157499	0.638075679280979
X306e31ae31e2479962fd9f5e95660548	BirthMode	CS	0.420386845508485	0.386963752257702	70	22	0.28126601382389	0.646911831794946
X306e31ae31e2479962fd9f5e95660548	BirthMode	CSR	-0.437318563260145	0.397641672950691	70	22	0.275423117837679	0.646911831794946
X7c60bd2ffe3eed870549edc57875acf8	Sex	M	0.592772658183932	0.577781635653891	70	53	0.308662678218656	0.687023380551202
