feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
f27c18211f38a2b8824f2a0ffa75d352	BirthMode	CSR	2.3160921689364	0.668817466298325	70	66	0.000942669500749484	0.0226240680179876
X2c796538ebe5bdf80383a492e53c2719	BirthMode	CS	-0.633258809381399	0.251877083904024	70	19	0.0143779747958558	0.073455628084267
X2c796538ebe5bdf80383a492e53c2719	BirthMode	CSR	-0.644461914449358	0.25882740808973	70	19	0.015303255850889	0.073455628084267
cd1032dccdcdadb3b177b8bfd184fe52	BirthMode	CS	0.360316398722706	0.14180637136041	70	70	0.0134154226154741	0.073455628084267
cd1032dccdcdadb3b177b8bfd184fe52	Sex	M	0.303058286233273	0.119050269781243	70	70	0.0132514304416612	0.073455628084267
X438fb020cf251f2c2f4e89552e4a78ff	BirthMode	CSR	-1.67693144751663	0.816330449279447	70	62	0.0439172594572958	0.175669037829183
X264d967e6d61a657b841b0165db6464d	Sex	M	-0.437285016892969	0.335287875032587	70	15	0.196692904481993	0.52451441195198
X5467dddfc6f0c07ff660f571f4d731ad	Sex	M	0.722159510012148	0.512123246550321	70	58	0.163197249189228	0.52451441195198
cd1032dccdcdadb3b177b8bfd184fe52	BirthMode	CSR	0.198783261276472	0.145719392097656	70	70	0.177153987184213	0.52451441195198
X5467dddfc6f0c07ff660f571f4d731ad	BirthMode	CS	0.716355598510786	0.610014067301641	70	58	0.244484187770785	0.586762050649884
X438fb020cf251f2c2f4e89552e4a78ff	Sex	M	0.735777043970159	0.666928119987158	70	62	0.273932443151531	0.597670785057886
db35c906865fb1665ab2ed219d1e567e	Sex	M	-0.260206845143913	0.254718847448664	70	70	0.31072607647381	0.621452152947619
X94e1ce4bbbed8aed7c95d0a0b492b4e9	Sex	M	0.258920749342911	0.319329965751606	70	25	0.42038039491318	0.776086882916641
X438fb020cf251f2c2f4e89552e4a78ff	BirthMode	CS	0.310021678857338	0.794409427440876	70	62	0.697605228178808	0.868519763062501
f27c18211f38a2b8824f2a0ffa75d352	Sex	M	0.14173295308087	0.546412516900032	70	66	0.796143116140626	0.868519763062501
X264d967e6d61a657b841b0165db6464d	BirthMode	CS	-0.157931534160429	0.399377145527518	70	15	0.693790110030267	0.868519763062501
X264d967e6d61a657b841b0165db6464d	BirthMode	CSR	0.186668525238775	0.410397602771004	70	15	0.650711228374137	0.868519763062501
X5467dddfc6f0c07ff660f571f4d731ad	BirthMode	CSR	0.249997887464121	0.626846863123604	70	58	0.691314659794604	0.868519763062501
X2c796538ebe5bdf80383a492e53c2719	Sex	M	0.0742920640179568	0.211457598856932	70	19	0.726457550370546	0.868519763062501
X94e1ce4bbbed8aed7c95d0a0b492b4e9	BirthMode	CS	-0.115557511964668	0.380368929806608	70	25	0.762233117309009	0.868519763062501
db35c906865fb1665ab2ed219d1e567e	BirthMode	CS	-0.141026267801464	0.303407590257237	70	70	0.643598812461039	0.868519763062501
db35c906865fb1665ab2ed219d1e567e	BirthMode	CSR	0.17267140722087	0.311779852949842	70	70	0.581570328798312	0.868519763062501
f27c18211f38a2b8824f2a0ffa75d352	BirthMode	CS	0.0906571798166968	0.650857628713332	70	66	0.889646102796739	0.889646102796739
X94e1ce4bbbed8aed7c95d0a0b492b4e9	BirthMode	CSR	0.0598608434345945	0.390864872237534	70	25	0.878747490452723	0.889646102796739
