feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
f27c18211f38a2b8824f2a0ffa75d352	BirthMode	CSR	2.42909025574424	0.71843384557208	70	63	0.00121690362677845	0.115482816480178
db66ab43add889efc6f36d999d74bd9f	BirthMode	CSR	2.62668707653584	0.757151519530203	70	55	0.000924474278182202	0.115482816480178
f3b97a44d007c4a516573a5f19987ac2	BirthMode	CSR	-1.5779907517379	0.443545220454675	70	70	0.000698544134151007	0.115482816480178
X85e7264741ca7542518130169aba3691	BirthMode	CSR	-1.61554569494091	0.480252203078902	70	50	0.00128314240533531	0.115482816480178
c4a7d3b208ece70a26268344fbb93c52	Sex	M	-1.76415057577656	0.580851908278584	70	64	0.00341789418214178	0.227693566798041
X46a9bce4deb54b24813583e0f9fb9cca	Sex	M	1.07045061643053	0.35669370607596	70	24	0.00379489277996735	0.227693566798041
X078486dc71f0b9e0dfff56304fe2bc20	Sex	M	0.322718556836044	0.121755057215131	70	10	0.0100492005660176	0.258408014554738
X031576b29e776dff6924cd6319f5840f	BirthMode	CSR	-0.598045604653071	0.220035511601235	70	13	0.00838225763613618	0.258408014554738
X5087bee9be8c0f9f4afc8588e1b7a670	BirthMode	CS	0.749040850510034	0.267722264632971	70	16	0.00673598245607014	0.258408014554738
X5087bee9be8c0f9f4afc8588e1b7a670	Sex	M	0.607967608813051	0.224760055033033	70	16	0.00868235264907004	0.258408014554738
d0b02d08734bda73b7c53f4164fedc19	Sex	M	0.486511013592199	0.183242070110485	70	15	0.00993011819379519	0.258408014554738
X1188c1b5a5140c35de894313d9ccf8d9	BirthMode	CS	-0.940802257775318	0.34252309200036	70	20	0.00775178855027106	0.258408014554738
X327c2a9c912e7c1e9c4d1054767ee63b	BirthMode	CSR	-1.50439270613457	0.53306243201851	70	48	0.00629683331510114	0.258408014554738
cd1032dccdcdadb3b177b8bfd184fe52	BirthMode	CS	1.01695777071551	0.367407771760468	70	70	0.00731391218008062	0.258408014554738
be5fd4a316759dd9b19669af1aedef1c	BirthMode	CS	-0.663189271221401	0.268092725353558	70	20	0.0159514082669227	0.278021335710095
X7f24d351bdd93a0dc8a128f9bbc0807e	BirthMode	CS	-1.02129142614887	0.40231261335628	70	46	0.013497681548937	0.278021335710095
X7dd93ae46821038682c068ced4636077	BirthMode	CSR	-0.654072860258661	0.255823315608361	70	25	0.0128734574516545	0.278021335710095
deb190ea6a267dab24ebcc3da50348c8	Sex	M	0.35816761423483	0.139108391465616	70	12	0.0122813917882508	0.278021335710095
X9567835ff4f28ad499d002f97314e118	BirthMode	CS	-0.873485256114902	0.354033080227894	70	26	0.0162179112497555	0.278021335710095
X9179082205356f48318aba87639426b1	Sex	M	0.808411508464464	0.325600039265618	70	22	0.0155841039874361	0.278021335710095
X802af93433e3f4f5a6e0a9714c0159fb	Sex	M	0.376279506457911	0.150852770837795	70	8	0.0151305562166977	0.278021335710095
a04152eb23b2b714891a76b94fc50d13	BirthMode	CS	1.2746632689383	0.52193246159213	70	69	0.0172843099091615	0.282834162149916
a04152eb23b2b714891a76b94fc50d13	Sex	M	1.06062337896771	0.438176365166331	70	69	0.0182569458453172	0.285760891491922
X428a6b3af0339c2456190db998ea95aa	BirthMode	CSR	-0.485937268977328	0.20965997728132	70	25	0.0235732134808814	0.343636299220326
d8f099d313df42c4bd55367dfcba5b1e	BirthMode	CSR	-1.8557250540902	0.854163189379307	70	39	0.0334090846464206	0.343636299220326
db66ab43add889efc6f36d999d74bd9f	Sex	M	1.37071782563916	0.618579938934555	70	55	0.0301510930091254	0.343636299220326
X031576b29e776dff6924cd6319f5840f	BirthMode	CS	-0.466211373119361	0.214126870977417	70	13	0.0330413574029222	0.343636299220326
f3b97a44d007c4a516573a5f19987ac2	Sex	M	-0.829290812808393	0.362368916004826	70	70	0.0253160548589091	0.343636299220326
de17fa4e217c05126bad3d8e4a5ed1ae	BirthMode	CSR	-1.34027988888778	0.609967502612602	70	50	0.0315142852412278	0.343636299220326
dd4b42686857a797e6a0189fed411d02	Sex	M	0.556046784413585	0.245026302057979	70	23	0.0265221709093219	0.343636299220326
X8a88f51fbbd1cf4036edce693eabc86a	BirthMode	CS	-0.740614514911979	0.337033645461183	70	19	0.0315028937469752	0.343636299220326
f54c94ed6901807823dcb725d30dc91f	Sex	M	0.56553709515803	0.252055233880648	70	8	0.0282121241823118	0.343636299220326
X7472fa2c4de1543ec76805a1b87222b4	Sex	M	0.406723652396606	0.182351129093498	70	12	0.0291231366542001	0.343636299220326
X85e7264741ca7542518130169aba3691	BirthMode	CS	-1.03932883523391	0.467355931671892	70	50	0.0295856771542007	0.343636299220326
e7992c99e4dc5a41a9d2095b60916fb7	BirthMode	CSR	0.99256821643797	0.454906973854507	70	68	0.0326813652897154	0.343636299220326
X438fb020cf251f2c2f4e89552e4a78ff	BirthMode	CSR	-1.69653151694816	0.816480158439963	70	62	0.0416158220620794	0.349054257229253
b36f55e05d656638c9385870b6626286	BirthMode	CS	-0.760459107515647	0.357833593118504	70	39	0.0373196871503851	0.349054257229253
X7dd93ae46821038682c068ced4636077	BirthMode	CS	-0.524546827499183	0.248953660687102	70	25	0.0389215128295898	0.349054257229253
a009250174a6396c22cbd6d4883ace66	Sex	M	-1.10622072481126	0.520493028818559	70	66	0.0373060852467975	0.349054257229253
X452599cabae49a1508e429752fb36c10	BirthMode	CS	-0.378679035967126	0.183981947755578	70	15	0.0435192089618856	0.349054257229253
X1c4847a64fdfa78a6094a2b60936d0b0	Sex	M	0.400886415972026	0.192386636267222	70	10	0.041058301614779	0.349054257229253
d5b22a367668019c66d346e758f7a1ee	BirthMode	CSR	-1.04536827620297	0.508174936254855	70	47	0.0436317821536566	0.349054257229253
X327c2a9c912e7c1e9c4d1054767ee63b	BirthMode	CS	-1.08524500072518	0.518748041046185	70	48	0.0402848563140774	0.349054257229253
X85e7264741ca7542518130169aba3691	Sex	M	0.833167485926718	0.39235789771387	70	50	0.0374659388853596	0.349054257229253
cd1032dccdcdadb3b177b8bfd184fe52	BirthMode	CSR	0.779458442417641	0.377546062558913	70	70	0.0429001344884518	0.349054257229253
X7f24d351bdd93a0dc8a128f9bbc0807e	BirthMode	CSR	-0.818790787649527	0.413414072224569	70	46	0.051811379110285	0.382399935666721
b054aca2fa49ab0f8e9328b3462b740f	BirthMode	CSR	-0.372317540612525	0.187725710529243	70	11	0.0514965105440654	0.382399935666721
X30e56f85621ef5f9b9eb7f743a2e6516	BirthMode	CSR	0.595939515614897	0.297754169995985	70	16	0.0494582406651105	0.382399935666721
e7992c99e4dc5a41a9d2095b60916fb7	BirthMode	CS	0.873105031247493	0.442691301001455	70	68	0.0527717289541916	0.382399935666721
X13c07d678a73558a30551df04730edb1	BirthMode	CS	-0.924501251876293	0.469440945180284	70	47	0.0531111021759334	0.382399935666721
ff408a41338d52c3115620bb5ef44b87	Sex	M	0.365663719890826	0.186605905592539	70	17	0.0542738327489911	0.383109407639937
ebdb83c3ce6ffb9baa5d797041283e86	Sex	M	-0.407538769657499	0.209108004206213	70	20	0.0555551831433899	0.384612806377315
X1188c1b5a5140c35de894313d9ccf8d9	BirthMode	CSR	-0.681780289855842	0.351974712185864	70	20	0.0570257088096389	0.387344437197547
X4080fc5501b77fa7027f0f557efe0fab	BirthMode	CSR	-0.607065530546845	0.316843999852364	70	26	0.0597010907685659	0.398007271790439
dd529174080cebdb024f3e4d9bdd445d	Sex	M	0.623332241175492	0.329745638234134	70	25	0.0631039411791088	0.413043978626894
X2cabbe9e8a6f88d2831ac023efe4cc59	BirthMode	CS	-0.260711282047217	0.138561372963562	70	9	0.064307197661396	0.413403413537546
X76af84637f0f7b485bc3ae2da8c96721	BirthMode	CSR	0.801146504944257	0.431521569843994	70	17	0.0678375063162682	0.428447408313273
d8f099d313df42c4bd55367dfcba5b1e	Sex	M	1.28562790200944	0.697836826444248	70	39	0.0699231871758376	0.434005989367268
e7992c99e4dc5a41a9d2095b60916fb7	Sex	M	0.678818020779447	0.371651275668607	70	68	0.0722990683958944	0.441146858008847
X96bb35ad57d9c30cfb576f6f7440308a	Sex	M	0.387869182610592	0.214348146005439	70	20	0.0749225639894953	0.449535383936972
X592ffedf7f7221039afc844b2f4fdc66	BirthMode	CS	-0.709367905538121	0.394012265724434	70	33	0.076371843429778	0.450719075979018
X428a6b3af0339c2456190db998ea95aa	Sex	M	-0.303805215788674	0.171288642495455	70	25	0.0807350004542577	0.467338051998341
X40d3ced278c1560950b676bcd978b0c7	Sex	M	-0.593056110086052	0.337244668220442	70	38	0.0832923689848186	0.467338051998341
X798dd9a3facfa4088a8d5377f569f80f	Sex	M	0.425829462372426	0.241201969712128	70	18	0.082114048833706	0.467338051998341
e7cdeeaa44dc2bdd46569cf6c57dace6	BirthMode	CSR	-0.417813619330259	0.238448070967082	70	10	0.0843804816108115	0.467338051998341
a04152eb23b2b714891a76b94fc50d13	BirthMode	CSR	0.932336700450545	0.536334723818143	70	69	0.0868127924390948	0.473524322395063
b054aca2fa49ab0f8e9328b3462b740f	Sex	M	-0.262679171762156	0.153368718889553	70	11	0.0914568960342531	0.477166414091755
d0b02d08734bda73b7c53f4164fedc19	BirthMode	CS	0.37402658422298	0.218268241564555	70	15	0.091294057223269	0.477166414091755
X2c84a40f19efd36d4e86812cf7091ac5	BirthMode	CS	0.965213368046438	0.560953101249854	70	67	0.0899967390951644	0.477166414091755
a48efa77549a0058f29816ef3038a36e	BirthMode	CSR	-0.396389432298058	0.23510947336295	70	16	0.0965224010836819	0.482612005418409
fc4f1910689e1f8d5f98a11f522acb7b	Sex	M	-0.331282072676752	0.195125440956741	70	12	0.0942581119311045	0.482612005418409
X411b1a6f2df76cafb02680de95e8ccbf	BirthMode	CSR	-0.893901069814084	0.529709446583749	70	20	0.096222227816416	0.482612005418409
X452599cabae49a1508e429752fb36c10	BirthMode	CSR	-0.314532520522536	0.189058766025025	70	15	0.100918837921281	0.496204851840099
X904398d6601dd776a7c9a42ac7cf4cd8	BirthMode	CS	-0.452851086105619	0.273077458711772	70	13	0.101997663989354	0.496204851840099
a48efa77549a0058f29816ef3038a36e	BirthMode	CS	-0.377523186654574	0.228796049792149	70	16	0.103685874262633	0.497692196460637
X026322b3b8718764dae37e6324db719c	Sex	M	0.289966523422033	0.17646124763943	70	13	0.105091317826048	0.497800979176017
X42fa666aab3186e80091e708e6b911f2	BirthMode	CS	0.344634124612434	0.210619482925944	70	17	0.106539631202845	0.498107366662652
X4cdfe4ce24f411be533e6d6e39f80f99	BirthMode	CS	-0.763988014828307	0.469863136390516	70	22	0.108719815464442	0.50176794957056
dd529174080cebdb024f3e4d9bdd445d	BirthMode	CS	-0.636097279587094	0.392775526807519	70	25	0.11011018893354	0.50176794957056
X13c07d678a73558a30551df04730edb1	BirthMode	CSR	-0.766762570920114	0.482394750681266	70	47	0.116728608440239	0.525278737981076
db66ab43add889efc6f36d999d74bd9f	BirthMode	CS	1.15034173132475	0.736819636762166	70	55	0.123253121562613	0.534591852560729
X6db1ecacf0a9069bdc3769d566e6bc14	Sex	M	0.281666284712973	0.179399261881011	70	11	0.121185079640573	0.534591852560729
b37311b5d8a8d0b509331ba12f1fe5eb	BirthMode	CS	0.440191288002435	0.28138092909646	70	32	0.122507061343011	0.534591852560729
X76af84637f0f7b485bc3ae2da8c96721	Sex	M	0.545535185701335	0.352545797555378	70	17	0.126544859392384	0.535954698603036
a009250174a6396c22cbd6d4883ace66	BirthMode	CSR	-0.989675831005834	0.637091607519047	70	66	0.125103413789963	0.535954698603036
db35c906865fb1665ab2ed219d1e567e	BirthMode	CSR	0.668026953362774	0.438025637234515	70	70	0.132015472331017	0.53911923693199
X3d1fcc65c931bb6a77b687a734c7513b	BirthMode	CS	0.582870244607447	0.384765911985586	70	49	0.134580157160195	0.53911923693199
X7196309e808ea0a0343569ba13b6475a	BirthMode	CS	-0.555778603077164	0.36707325197149	70	24	0.134779809232998	0.53911923693199
X8a88f51fbbd1cf4036edce693eabc86a	BirthMode	CSR	-0.52723733231131	0.34633378925012	70	19	0.132701393744583	0.53911923693199
